Genus_Species	Sex	brain_mass	body_mass
Motacilla_alba	m	5.63588E+14	2.11977E+14
Motacilla_flava	f	471	16929
Motacilla_flava	m	4172	177238
Muscicapa_striata	f	4.65667E+14	1.36373E+14
Muscicapa_striata	m	4.98333E+14	16298
Musophaga_violacea	m	377	3655
Mycerobas_affinis	f	1839	59618
Mycerobas_affinis	m	16545	559205
Mycerobas_carnipes	f	1815	47427
Mycerobas_carnipes	m	193	47125
Mycteria_americana	unknown	1485	19553
Myiopagis_gaimardii	m	46	1305
Myiopsitta_monachus	f	321	72
Nectarinia_pulchella	m	38	575
Nectarinia_senegalensis	m	5	946
Nectarinia_venusta	m	3.07143E+14	5.05286E+14
Neochmia_phaeton	f	38	728
Neochmia_ruficauda	f	489	10023
Neochmia_ruficauda	m	4205	10028
Neochmia_temporalis	m	45	82
Neophema_chrysostoma	f	1138	44882
Neophema_chrysostoma	m	12968	376148
Neophema_elegans	m	1311	44935
Neophema_pulchella	f	1027	27227
Neophema_pulchella	m	1.38567E+14	34579
Neophema_splendida	m	1222	382885
Neopsephotus_bourkii	m	13	361
Nigrita_bicolor	m	41	1418
Niltava_sundara	f	6835	2258
Niltava_sundara	m	767	2462
Northiella_haematogaster	f	232	573
Northiella_haematogaster	m	2427	9.89077E+14
Nucifraga_caryocatactes	f	558	183
Nucifraga_caryocatactes	m	606	2045
Numenius_arquata	m	4664	735
Numenius_phaeopus	m	302	383
Numida_meleagris	m	42	1620
Nycticorax_nycticorax	unknown	7	420
Oceanodroma_furcata	m	1175	6.25847E+14
Oceanodroma_leucorhoa	m	698	37912
Ocyphaps_lophotes	m	172	148
Ocyphaps_lophotes	unknown	167	1185
Oena_capensis	f	4.81667E+14	3.55687E+14
Oenanthe_moesta	f	686	30429
Oenanthe_oenanthe	f	698	244582
Oenanthe_oenanthe	m	705	2.54426E+14
Oenanthe_oenanthe	unknown	688	21197
Oreortyx_pictus	f	14265	229147
Oreortyx_pictus	m	145	224528
Oriolus_oriolus	f	1309	70475
Orthopsittaca_manilata	f	788	250
Orthopsittaca_manilata	m	8842	2915
Padda_oryzivora	f	7395	21554
Padda_oryzivora	m	756	2218
Padda_oryzivora	unknown	8	2102
Panurus_biarmicus	f	537875	13580375
Panurus_biarmicus	m	5525	1.45007E+14
Paradoxornis_webbianus	m	505	10354
Paroaria_capitata	f	85	149
Paroaria_coronata	f	1	354
Paroaria_coronata	unknown	122	332875
Paroaria_dominicana	unknown	1.16333E+14	9.98667E+14
Paroaria_gularis	f	8.31333E+14	17426
Paroaria_gularis	m	753	16313
Parus_ater	f	51	8388
Parus_ater	m	569	8867
Parus_atricapillus	f	686	1088
Parus_caeruleus	f	6.12556E+14	1.15269E+14
Parus_caeruleus	m	5988	1.10957E+14
Parus_cristatus	f	4755	101545
Parus_cristatus	m	6615	1094725
Parus_cyanus	f	65	9
Parus_cyanus	m	66	109
Parus_holsti	f	94	1955
Parus_major	f	7.85692E+14	1.78922E+14
Parus_major	m	8.47143E+14	178568
Parus_palustris	f	639	1.08107E+14
Parus_palustris	m	732	11555
Parus_palustris	unknown	655	10079
Parus_spilonotus	f	8	17643
Parus_spilonotus	m	906	17452
Parus_venustulus	f	51	1064
Parus_venustulus	m	552	101945
Passer_domesticus	f	905075	2912925
Passer_domesticus	m	8.96814E+14	2.82587E+14
Passer_eminibey	f	65	136
Passer_hispaniolensis	f	89	2.84333E+14
Passer_hispaniolensis	m	83975	280035
Passer_montanus	f	7.31235E+14	22347
Passer_montanus	m	757	2.24697E+14
Passer_rutilans	f	713	20863
Passer_rutilans	m	648	15837
Passerella_iliaca	m	1002	338265
Passerina_caerulea	m	908	2289
Passerina_ciris	m	54	17207
Passerina_leclancherii	m	5.53333E+14	1.29027E+14
Passerina_versicolor	m	4445	122985
Pavo_cristatus	f	63295	3000
Pavo_cristatus	m	7.45286E+14	4.57143E+14
Pelecanus_occidentalis	f	1745	3290
Perdix_perdix	f	1.89814E+14	403098
Perdix_perdix	m	1.87556E+14	402
Pericrocotus_brevirostris	m	629	916
Pericrocotus_ethologus	f	593	15374
Pericrocotus_ethologus	m	616	12518
Pericrocotus_roseus	m	71	52455
Perisoreus_canadensis	unknown	2815	74675
Pernis_apivorus	m	7641	881
Petrochelidon_pyrrhonota	f	498	137285
Petrochelidon_pyrrhonota	m	5365	143245
Petronia_dentata	m	494	1426
Phalacrocorax_carbo	f	9.99217E+14	18225
Phalacrocorax_carbo	m	11032	20925
Phalaropus_fulicarius	f	534	3586
Phalaropus_fulicarius	m	514	33762
Phasianus_colchicus	f	3.40871E+14	1.06871E+14
Phasianus_colchicus	m	4.10051E+14	1.39308E+14
Pheucticus_aureoventris	f	147	498
Pheucticus_ludovicianus	m	1353	30492
Pheucticus_melanocephalus	m	145	30146
Phigys_solitarius	f	2167	67518
Philomachus_pugnax	m	1613	131524
Phoeniconaias_minor	f	6881	1307
Phoeniconaias_minor	m	805	1598
Phoeniconaias_minor	unknown	689	107285
Phoenicopterus_ruber	f	9702	2400
Phoenicopterus_ruber	unknown	11	1.64583E+14
Phoenicurus_auroreus	m	581	1159925
Phoenicurus_ochruros	m	5572	169982
Phoenicurus_phoenicurus	f	4.07667E+14	13689
Phoenicurus_phoenicurus	m	4.72308E+14	1.41743E+14
Phoenicurus_phoenicurus	unknown	518	14805
Phrygilus_alaudinus	f	7	166
Phrygilus_alaudinus	m	763	19925
Phrygilus_fruticeti	f	937	37907
Phrygilus_fruticeti	m	112	253
Phrygilus_punensis	m	95	2156
Phylloscopus_collybita	f	3.35571E+14	7296
Phylloscopus_collybita	m	3.27143E+14	8.71943E+14
Phylloscopus_trochilus	f	24	1035
Phylloscopus_trochilus	m	345	10275
Phylloscopus_trochilus	unknown	305	10303
Pica_pica	f	4.97311E+14	2.00844E+14
Pica_pica	m	5.56565E+14	2.30443E+14
Picus_viridis	f	38	1555
Picus_viridis	m	4542	190451
Pinicola_enucleator	f	1555	34895
Pinicola_enucleator	m	1.39167E+14	50023
Pionites_leucogaster	m	535	139
Pionites_melanocephalus	f	4625	123878
Pionites_melanocephalus	m	5166	1280715
Pionus_menstruus	f	6024	192361
Pionus_tumultuosus	f	589	1562
Piranga_ludoviciana	m	804	4187
Pitangus_sulphuratus	f	1235	6485
Pitangus_sulphuratus	m	148	809
Pitta_brachyura	f	155	59
Pitta_cyanea	f	18	1106
Pitta_erythrogaster	m	12	497
Pitta_guajana	f	138	6275
Pitta_guajana	m	1.44667E+14	7.40167E+14
Pitta_moluccensis	f	155	59
Pitta_nympha	m	12	512
Pitta_sordida	f	127175	4808225
Pitta_sordida	m	1215	5235
Platycercus_caledonicus	f	348	911
Platycercus_caledonicus	m	39655	1515735
Platycercus_elegans	f	305	10952
Platycercus_elegans	m	4465	15845
Platycercus_eximius	f	228	1152
Platycercus_eximius	m	2849	1649565
Platycercus_venustus	f	219	112529
Platycercus_venustus	m	25	846
Platylophus_galericulatus	m	197	741
Platysteira_cyanea	f	6	1995
Platysteira_cyanea	m	59	105
Plectrophenax_nivalis	m	889	24274
Plegadis_chihi	f	46	301
Ploceus_vitellinus	m	9	151
Pluvialis_apricaria	f	224	21535
Pluvialis_apricaria	m	236	1992
Pluvialis_dominica	f	18745	126958
Pluvialis_squatarola	f	2.17333E+14	2.11367E+14
Pluvialis_squatarola	m	238	2805
Pluvianus_aegyptius	f	115	603
Podiceps_cristatus	f	37968	98294
Podiceps_cristatus	m	3505	10243
Podiceps_grisegena	f	2936	7095
Poephila_acuticauda	unknown	481	12826
Poephila_cincta	f	43	148
Poephila_personata	m	443	14535
Pogoniulus_bilineatus	m	436	11494
Pogoniulus_makawai	m	436	11494
Poicephalus_gulielmi	f	6172	208185
Poicephalus_gulielmi	m	6905	216421
Poicephalus_meyeri	f	375	7795
Poicephalus_meyeri	m	424	10795
Poicephalus_rufiventris	m	4.75733E+14	1.12507E+14
Poicephalus_senegalus	m	4.55333E+14	1.09768E+14
Polioptila_dumicola	m	43	71
Polyplectron_napoleonis	m	2432	2995
Polytelis_alexandrae	f	2328	8.99613E+14
Polytelis_alexandrae	m	30864	1032454
Polytelis_anthopeplus	f	3235	1576095
Polytelis_swainsonii	f	3171	14193
Polytelis_swainsonii	m	32765	107632
Poospiza_hispaniolensis	m	36	663
Poospiza_ornata	m	4895	10791
Primolius_maracana	f	912	252
Prionops_plumatus	f	137	291
Probosciger_aterrimus	m	17157	995
Prunella_collaris	m	97	451
Prunella_immaculata	f	65	1507
Prunella_modularis	f	6.33083E+14	2.05151E+14
Prunella_modularis	m	69265	2022545
Prunella_modularis	unknown	643	2006
Prunella_montanella	m	616	13046
Psarisomus_dalhousiae	f	1.52633E+14	52858
Psephotus_chrysopterygius	m	16305	44155
Psephotus_haematonotus	m	1929	63224
Psephotus_varius	f	178	4605
Psephotus_varius	m	1.76667E+14	4.98667E+14
Pseudeos_fuscata	m	4313	128231
Pseudoleistes_virescens	m	182	475
Psilopogon_pyrolophus	f	2.09333E+14	1.16733E+14
Psilopogon_pyrolophus	m	2174	11076
Psittacula_cyanocephala	m	2555	6305
Psittacula_derbiana	m	63	2198
Psittacula_krameri	f	2968	111211
Psittacula_krameri	m	32	958
Psittacula_longicauda	m	355	99835
Psittaculirostris_desmarestii	f	29	1088
Psittaculirostris_edwardsii	f	27	88
Psittacus_erithacus	f	818975	325503
Psittacus_erithacus	m	875	3389
Psittacus_erithacus	unknown	975	342
Psitteuteles_goldiei	f	19	431
Pterodroma_hypoleuca	m	2193	164737
Pteroglossus_aracari	f	3375	27275
Pteroglossus_aracari	m	36	256
Pteroglossus_bailloni	f	291	1495
Pteroglossus_bailloni	m	29	17805
Pucrasia_macrolopha	f	32745	8975
Pucrasia_macrolopha	m	358	9405
Puffinus_gravis	m	578	1510
Puffinus_griseus	f	301	268
Purpureicephalus_spurius	m	3.53333E+14	9.87667E+14
Pycnonotus_barbatus	m	88	508
Pycnonotus_cafer	f	11	24445
Pycnonotus_goiavier	m	655	2533
Pycnonotus_jocosus	f	7225	245045
Pycnonotus_squamatus	f	552	19367
Pyrenestes_ostrinus	f	969	13131
Pyrenestes_ostrinus	m	8.64667E+14	15891
Pyrrhocorax_pyrrhocorax	f	502	2415
Pyrrhoplectes_epauletta	f	661	23017
Pyrrhula_erythaca	m	8435	207325
Pyrrhula_nipalensis	f	974	30833
Pyrrhula_pyrrhula	f	8.53205E+14	2.52005E+14
Pyrrhula_pyrrhula	m	8.67779E+14	2.56446E+14
Pyrrhura_frontalis	f	238	996
Pyrrhura_perlata	m	2969	80544
Pytilia_hypogrammica	f	55	1305
Pytilia_hypogrammica	m	44	1.10333E+14
Pytilia_phoenicoptera	m	47	1131
Quelea_erythrops	m	774	25353
Quiscalus_quiscula	m	292	82
Rallus_aquaticus	f	158	1219
Rallus_aquaticus	m	1.66817E+14	1.18008E+14
Ramphastos_ambiguus	f	55	5455
Ramphastos_toco	m	626	4791
Recurvirostra_avosetta	m	193	201
Regulus_regulus	f	3607	5528
Regulus_regulus	m	3.55308E+14	5.64619E+14
Riparia_riparia	f	31	13742
Riparia_riparia	m	3.70667E+14	1.32027E+14
Rissa_tridactyla	f	365	25635
Rollulus_rouloul	f	15925	1910795
Rollulus_rouloul	m	1.68867E+14	1.63241E+14
Saltator_aurantiirostris	m	14	30
Saxicola_rubetra	m	665	1895
Saxicola_torquatus	unknown	471	18244
Sayornis_phoebe	f	75	175
Sayornis_phoebe	m	793	181
Scissirostrum_dubium	m	133	387
Scolopax_minor	f	1925	202157
Scolopax_rusticola	f	2458	3.16357E+14
Scolopax_rusticola	m	2.44188E+14	3.23159E+14
Scopus_umbretta	m	424	33075
Semnornis_ramphastinus	m	1468	59148
Serinus_burtoni	f	11425	275125
Serinus_burtoni	m	10492	24944
Serinus_canaria	f	564	153
Serinus_canaria	m	848	171
Serinus_canicollis	m	499	146605
Serinus_capistratus	m	537	7979
Serinus_citrinelloides	f	496	9612
Serinus_donaldsoni	m	8515	19345
Serinus_dorsostriatus	f	564	17372
Serinus_dorsostriatus	m	408	9766
Serinus_flaviventris	m	666	13815
Serinus_gularis	m	656	14305
Serinus_mennelli	f	785	1505
Serinus_mennelli	m	546	14004
Serinus_mozambicus	f	515	669
Serinus_mozambicus	m	563	19162
Serinus_serinus	f	445	7908
Serinus_serinus	m	55575	111155
Serinus_serinus	unknown	6.16667E+14	1.56067E+14
Serinus_sp.	f	532	13827
Serinus_striolatus	f	744	17709
Serinus_sulphuratus	m	772	13308
Sialia_sialis	f	1281	34
Sialia_sialis	m	1392	29
Sicalis_flaveola	m	778	24671
Sicalis_olivascens	m	63	149
Sitta_europaea	f	9.73667E+14	2.44333E+14
Sitta_europaea	m	1006	2.36247E+14
Somateria_mollissima	f	74825	19775
Somateria_mollissima	m	7.55633E+14	2.22119E+14
Somateria_spectabilis	m	7569	1500
Spermophaga_haematina	m	914	16796
Sphyrapicus_ruber	f	1376	51729
Spizixos_semitorques	m	92	3982
Sporophila_americana	f	578	9324
Sporophila_caerulescens	m	45	75
Sporophila_castaneiventris	m	37	77
Sporophila_lineola	f	555	9051
Sporophila_luctuosa	m	505	13239
Sporophila_minuta	f	5	618
Sporophila_nigricollis	f	532	8981
Sporophila_simplex	m	56	94
Stagonopleura_guttata	m	572	17721
Steganopus_tricolor	m	603	6318
Stercorarius_longicaudus	unknown	283	2672
Stercorarius_pomarinus	f	4725	689
Sterna_caspia	f	4374	540
Sterna_hirundo	f	1778	91721
Sterna_paradisaea	f	1393	102293
Sterna_paradisaea	unknown	1616	98215
Sterna_sandvicensis	f	2137	180
Sterna_sandvicensis	m	2472	175
Stigmatopelia_chinensis	f	1134	130248
Streptopelia_decaocto	f	1477	15183
Streptopelia_decaocto	m	15215	2097205
Strix_aluco	f	9.21935E+14	5.0708E+14
Strix_aluco	m	9.06997E+14	4.19328E+14
Strix_varia	m	121	676
Strix_varia	unknown	125	5725
Struthio_camelus	m	2329	99000
Sturnella_loyca	f	1905	6065
Sturnella_loyca	m	2.11667E+14	5.86667E+14
Sturnella_magna	unknown	23	135
Sturnella_neglecta	m	174	113552
Sturnus_unicolor	m	183	919
Sturnus_vulgaris	f	1.70498E+14	7.91653E+14
Sturnus_vulgaris	m	1.76871E+14	7.69265E+14
Sylvia_atricapilla	f	5762	189687
Sylvia_atricapilla	m	5.98435E+14	1.80389E+14
Sylvia_atricapilla	unknown	75	129
Sylvia_borin	f	4	177
Sylvia_borin	m	589	1878025
Sylvia_communis	f	5.18333E+14	1.55459E+14
Sylvia_communis	m	4.86182E+14	1.35665E+14
Sylvia_communis	unknown	4855	13633
Sylvia_curruca	f	453	126894
Sylvia_curruca	m	4.78429E+14	1.15111E+14
Sylvia_hortensis	f	68	209
Sylvia_hortensis	m	9	236
Sylvia_melanocephala	f	5075	113195
Sylvia_melanocephala	m	562	1106
Synthliboramphus_antiquus	m	2079	17584
Syrmaticus_ellioti	f	2958	535
Syrmaticus_ellioti	m	352	913
Syrmaticus_reevesii	f	3256	850
Syrmaticus_reevesii	m	4651	1200
Tachybaptus_ruficollis	f	1.59267E+14	168605
Tachybaptus_ruficollis	m	1649	134069
Tachyphonus_rufus	m	12	3365
Tadorna_tadorna	f	488	676
Tadorna_tadorna	m	498075	138925
Taeniopygia_guttata	m	381	9837
Tangara_chilensis	f	604	12555
Tangara_chilensis	m	5625	13765
Tangara_icterocephala	m	6.47667E+14	1.68753E+14
Tanygnathus_lucionensis	m	6	148
Tanygnathus_sumatranus	m	65	173
Tauraco_hartlaubi	f	323	2.30067E+14
Tauraco_persa	f	2521	218272
Tauraco_schalowi	m	348	2384
Tchagra_senegalus	m	14	346
Tetrao_tetrix	m	3.61267E+14	1.32333E+14
Tetrao_urogallus	f	4872	1985
Tetrao_urogallus	m	6.01157E+14	4.22857E+14
Thraupis_bonariensis	m	98	283
Thraupis_episcopus	f	104	3735
Thraupis_palmarum	f	103	327
Thraupis_palmarum	m	9	3485
Tockus_erythrorhynchus	f	332	1432
Tockus_erythrorhynchus	m	31	1287
Todiramphus_chloris	m	11	55
Toxostoma_rufum	f	1384	48211
Trachyphonus_darnaudii	f	9	373
Tragopan_satyra	m	439	2140
Tragopan_temminckii	f	3.65867E+14	7.85333E+14
Tragopan_temminckii	m	47	1260
Trichoglossus_euteles	f	245	599
Trichoglossus_flavoviridis	f	202	478
Trichoglossus_haematodus	f	338225	11380375
Trichoglossus_haematodus	m	3.58571E+14	1.17659E+14
Tringa_flavipes	f	10865	762285
Tringa_glareola	m	9725	64952
Tringa_nebularia	f	1565	1606
Tringa_nebularia	m	176	1315
Tringa_totanus	f	182	1392
Tringa_totanus	m	144675	9698425
Troglodytes_aedon	f	45	122
Troglodytes_aedon	m	6	121
Troglodytes_troglodytes	f	424	8.36067E+14
Troglodytes_troglodytes	m	5.10867E+14	9966
Troglodytes_troglodytes	unknown	4.47667E+14	9.39767E+14
Tryngites_subruficollis	unknown	919	73024
Turdus_hortulorum	m	1254	37985
Turdus_iliacus	f	1265	5.69334E+14
Turdus_iliacus	m	1.27517E+14	7.18172E+14
Turdus_merula	f	1.77338E+14	1.0299E+14
Turdus_merula	m	18178125	1.00666E+11
Turdus_migratorius	f	1.65267E+14	8.54813E+14
Turdus_migratorius	m	209	693
Turdus_philomelos	f	14215	719156
Turdus_philomelos	m	1.45645E+14	6.89737E+14
Turdus_pilaris	f	1.71933E+14	92734
Turdus_pilaris	m	1.84529E+14	98448
Turdus_torquatus	f	16935	108988
Turdus_torquatus	m	17814	1047802
Turdus_viscivorus	f	2	1018
Turdus_viscivorus	m	164025	96327
Turtur_afer	f	7	576
Turtur_brehmeri	m	1115	114383
Turtur_tympanistria	m	82	798
Tyto_alba	f	55608125	2.46427E+14
Tyto_alba	m	5.75564E+14	2484005
Tyto_alba	unknown	647875	32735125
Upupa_epops	f	137	345
Upupa_epops	m	123	4.02833E+14
Uraeginthus_bengalus	f	40875	734075
Uraeginthus_bengalus	m	3.84714E+14	7.81086E+14
Uraeginthus_cyanocephalus	m	47	78
Uraeginthus_ianthinogaster	f	48	113
Uraeginthus_ianthinogaster	m	465	9531
Uragus_sibiricus	f	68	9553
Uragus_sibiricus	m	6.19667E+14	1.57923E+14
Uria_aalge	f	5.16133E+14	9.44167E+14
Uria_aalge	m	45315	718625
Uria_aalge	unknown	512	10155
Uria_lomvia	f	5.15633E+14	990
Uria_lomvia	m	506725	901625
Vanellus_armatus	f	208	96
Vanellus_coronatus	f	155	1085
Vanellus_spinosus	m	168	1919635
Vanellus_vanellus	f	2141	208985625
Vanellus_vanellus	m	209775	21413725
Vidua_chalybeata	m	516	898925
Vidua_larvaticola	m	51	855
Vidua_macroura	m	5505	13023
Vidua_obtusa	m	675	1395
Vidua_paradisaea	m	56	1.34067E+14
Yuhina_brunneiceps	m	51	1372
Yuhina_diademata	f	747	23381
Yuhina_flavicollis	f	52	1378
Yuhina_nigrimenta	f	45	97
Zenaida_asiatica	f	1433	126099
Zenaida_graysoni	m	14	1227
Zenaida_macroura	f	1073	102483
Zonotrichia_albicollis	m	107	316
Zonotrichia_capensis	f	72	156
Zonotrichia_capensis	m	87	22
Zoothera_naevia	f	1758	104
Zoothera_naevia	m	1661	90649
Zosterops_atricapilla	m	32	615
Zosterops_erythropleurus	m	32	113
