Genus_Species	Sex	brain_mass	body_mass
Botaurus_lentiginosus	unknown	4775	40375
Brachypteryx_montana	m	692	1549
Brachyramphus_marmoratus	f	2225	2118
Brachyramphus_marmoratus	m	229	18218
Branta_bernicla	f	6069	980
Branta_bernicla	m	6.10067E+14	1420
Branta_leucopsis	f	66755	1855
Branta_leucopsis	m	7026	2240
Branta_ruficollis	m	5398	1060
Brotogeris_chrysoptera	m	1948	5344
Brotogeris_jugularis	unknown	192	37
Brotogeris_pyrrhoptera	f	23	477
Brotogeris_pyrrhoptera	m	3801	5218
Brotogeris_versicolurus	f	2353	5747
Brotogeris_versicolurus	m	2328	6639
Bubo_bubo	f	1.61062E+14	2718
Bubo_bubo	m	178935	2000
Bubo_scandiaca	unknown	154	1049
Bubo_virginianus	m	137	1177
Bubo_virginianus	unknown	14035	109225
Bucanetes_githagineus	f	635	21075
Bucanetes_githagineus	m	608	1723
Bucephala_clangula	f	533	580
Bucephala_clangula	m	59364	10958
Bucorvus_cafer	m	28925	2410
Burhinus_oedicnemus	f	2358	252751
Burhinus_oedicnemus	m	3193	376088
Buteo_buteo	f	7.92096E+14	8.75024E+14
Buteo_buteo	m	7.93012E+14	6.79638E+14
Buteo_buteo	unknown	7912	845
Buteo_lagopus	f	8.89467E+14	8.20333E+14
Buteo_lagopus	m	8549	865
Buteo_lineatus	unknown	74	337
Cacatua_alba	f	11138	3345
Cacatua_goffiniana	m	87	2497
Cacatua_leadbeateri	f	7985	25451825
Cacatua_leadbeateri	m	88652	3379622
Cacatua_moluccensis	m	1.55643E+14	7693
Cacatua_moluccensis	unknown	7	335
Cacatua_roseicapilla	m	6.18533E+14	3.15288E+14
Cacatua_sulphurea	m	1.02387E+14	3.64972E+14
Cacatua_tenuirostris	f	9114	490
Calcarius_lapponicus	f	1	238
Calidris_acuminata	f	862	65496
Calidris_alpina	f	8.67667E+14	4.08143E+14
Calidris_alpina	m	8558	36076
Calidris_canutus	m	13	166
Calidris_maritima	f	127	934
Calidris_maritima	m	104	5555
Calidris_melanotos	m	988	824695
Calidris_ptilocnemis	m	9335	67468
Callipepla_californica	f	1142	110811
Callipepla_californica	m	1.12933E+14	133246
Callipepla_californica	unknown	136	1269
Callipepla_gambelii	f	103	1565
Callipepla_gambelii	m	128	168
Callipepla_squamata	m	11155	1472365
Callipepla_squamata	unknown	15	99
Callocephalon_fimbriatum	f	5959	327385
Callonetta_leucophrys	f	26095	276183
Callonetta_leucophrys	m	30205	2464635
Calyptomena_viridis	m	132	537
Calyptorhynchus_funereus	f	16581	645
Calyptorhynchus_funereus	m	15844	720
Caprimulgus_europaeus	m	7	833
Cardinalis_cardinalis	f	145	435
Cardinalis_cardinalis	m	13026	27755
Cardinalis_sinuatus	f	1278	30959
Cardinalis_sinuatus	m	13145	219375
Carduelis_ambigua	f	62	135
Carduelis_ambigua	m	636	15389
Carduelis_cannabina	f	61125	187335
Carduelis_cannabina	m	6.65071E+14	189455
Carduelis_cannabina	unknown	69	168
Carduelis_carduelis	f	5.56545E+14	13714
Carduelis_carduelis	m	5.93045E+14	1.59926E+14
Carduelis_chloris	f	8.51833E+14	2.51424E+14
Carduelis_chloris	m	869875	260726875
Carduelis_cucullata	f	459	8846
Carduelis_cucullata	m	45925	10383
Carduelis_flammea	f	5575	122325
Carduelis_flammea	m	5.50444E+14	1.26381E+14
Carduelis_flammea	unknown	573	11794
Carduelis_flavirostris	f	365	9148
Carduelis_flavirostris	unknown	436	11538
Carduelis_magellanica	m	5395	154915
Carduelis_sinica_x_Serinus_canaria	unknown	547	17547
Carduelis_spinoides	f	607	16674
Carduelis_spinoides	m	489	19581
Carduelis_spinus	f	516	1.20805E+14
Carduelis_spinus	m	5.49333E+14	1.29723E+14
Carduelis_xanthogastra	m	442	13737
Carpodacus_mexicanus	m	718	1953
Carpodacus_nipalensis	m	794	17739
Carpodacus_purpureus	f	85	197
Carpodacus_roseus	f	103	212
Carpodacus_roseus	m	93225	21755
Carpodacus_trifasciatus	m	921	36582
Casmerodius_albus	f	612	1030
Catamenia_analis	m	55	898
Cathartes_aura	f	116	23814
Cathartes_aura	m	93	494
Cathartes_aura	unknown	10325	17975
Catreus_wallichi	m	4741	1270
Centropus_bengalensis	f	1834	151674
