"pop","patch","ASD","GAD","GSD","LBL","LBW","UBL","UBW","GW","GA"
"S27","J",4.09,3.8,5,17.08,17.6,16.34,16.79,6.86,20.1341
"S27","J",3.21,4.75,5.36333333333333,15.65,16.79,18,19.51,7.53,24.4725
"S27","K",2.36,3.64,3.95666666666667,16.65,16.32,14.61,15.14,6.44,21.413
"S27","L",3.57,3.23,4.31333333333333,16.75,15.97,15.4,14.6,5.86,15.0895
"S27","Q",3.23,3.93,6.40666666666667,22.46,22.22,21.79,20.82,7.41,23.82315
"S27","Q",1.59,4.86,5.31,20.16,20.05,20.29,19.97,7.32,26.2422
"S27","Q",0.88,3.93,6.35,22.19,23,20.26,20.69,7.79,24.928
"S27","Q",1.76,4.88,5.58333333333333,22.7,21.51,20.49,20.72,6.7,22.445
"S27","R",2.73,4.09,5.14,20.94,21.42,19,20.68,8.02,30.2354
"S27","R",3.1,4.65,4.64333333333333,21.04,20.71,19.4,19.8,7.22,26.9667
"S27","R",5.2,4.22,5.20666666666667,20.34,17.86,16.67,17.07,8,29.08
"S27","S",2.19,4.74,5.33666666666667,20.41,20.6,18.33,17.39,7.01,22.9928
"S1","A",4.02,7.67,6.53333333333333,23.17,20.91,22.07,19.98,7.01,22.0114
"S1","B",2.28,5.56,5.43333333333333,18.63,19.1,17.68,17.99,6.77,22.341
"S1","B",2.1,5.49,4.65,19.03,17.65,14.91,15.7,6.52,22.5266
"S1","B",1.27,4.29,5.80333333333333,22.08,21.92,19.32,19.42,6.48,21.87
"S1","B",3.6,6.18,4.31333333333333,17.31,18.06,16.02,17.92,6.81,26.66115
"S1","C",1.7,5.06,5.78666666666667,21.85,19.72,19.74,17.81,7.04,20.4512
"S1","C",1.5,4.64,5.05,19.51,18.51,18.98,17.68,7.06,20.8976
"S1","D",0.64,3.72,5.28666666666667,19.5,18.34,18.25,17.16,5.68,16.3016
"S1","E",2.64,3.66,3.92666666666667,17.61,15.15,17.28,15.2,5.82,15.9759
"S1","F",3.11,5.27,5.21,22.55,19.75,21.4,19.11,6.29,20.128
"S1","G",2.66,4.71,4.55333333333333,16.58,16.78,15.23,14.82,5.48,13.9192
"S1","H",4.02,6.07,4.61333333333333,17.96,18.38,17.53,18.48,7.26,23.1231
"S1","I",2.63,4.27,4.88,18.44,18.15,18.24,17.49,5.84,16.9652
