"Population","Mother","Cross_id","Block","Treatment","newseedsize","Germinated"
"LM","13.3x10.1A","LM_14","1B",112,0.109685314685314,1
"LM","6.3x1.4A","LM_15","1B",3.5,-0.160314685314685,0
"LM","6.3x1.4A","LM_15","1B",7,-0.180314685314685,0
"LM","6.3x1.4A","LM_15","1B",14,-0.260314685314685,0
"LM","6.3x1.4A","LM_15","1B",28,-0.220314685314685,0
"LM","6.3x1.4A","LM_15","1B",56,-0.220314685314685,0
"LM","6.3x1.4A","LM_15","1B",112,-0.190314685314685,0
"LM","18.3x8.4A","LM_16","1B",3.5,-0.110314685314685,0
"LM","18.3x8.4A","LM_16","1B",7,-0.120314685314685,0
"LM","18.3x8.4A","LM_16","1B",14,-0.220314685314685,0
"LM","18.3x8.4A","LM_16","1B",28,-0.140314685314685,0
"LM","18.3x8.4A","LM_16","1B",56,-0.150314685314685,0
"LM","18.3x8.4A","LM_16","1B",112,-0.120314685314685,0
"LM","5.3x12.4A","LM_17","1B",3.5,0.0296853146853148,0
"LM","5.3x12.4A","LM_17","1B",7,0.0996853146853146,0
"LM","5.3x12.4A","LM_17","1B",14,0.0296853146853148,0
"LM","5.3x12.4A","LM_17","1B",28,0.0596853146853151,0
"LM","5.3x12.4A","LM_17","1B",56,0.0796853146853151,0
"LM","5.3x12.4A","LM_17","1B",112,0.00968531468531478,0
"LM","18.3x8.4A","LM_18","1B",3.5,-0.040314685314685,0
"LM","18.3x8.4A","LM_18","1B",7,-0.330314685314685,0
"LM","18.3x8.4A","LM_18","1B",14,0.149685314685314,0
"LM","18.3x8.4A","LM_18","1B",28,0.0496853146853148,0
"LM","18.3x8.4A","LM_18","1B",56,-0.020314685314685,0
"LM","18.3x8.4A","LM_18","1B",112,0.039685314685315,0
"LM","5.3x12.4A","LM_19","1B",3.5,0.139685314685315,0
"LM","5.3x12.4A","LM_19","1B",7,0.219685314685315,0
"LM","5.3x12.4A","LM_19","1B",14,0.159685314685315,0
"LM","5.3x12.4A","LM_19","1B",28,0.159685314685315,0
"LM","5.3x12.4A","LM_19","1B",56,0.0896853146853148,0
"LM","5.3x12.4A","LM_19","1B",112,0.0296853146853148,0
"LM","15.4x3.4A","LM_20","1B",3.5,0.0296853146853148,0
"LM","15.4x3.4A","LM_20","1B",7,-0.0803146853146851,0
"LM","15.4x3.4A","LM_20","1B",14,-0.0503146853146853,0
"LM","15.4x3.4A","LM_20","1B",28,-0.0503146853146853,0
"LM","15.4x3.4A","LM_20","1B",56,-0.0703146853146853,0
"LM","15.4x3.4A","LM_20","1B",112,-0.0503146853146853,0
"LM","13.3x10.1A","LM_21","1B",3.5,0.329685314685315,0
"LM","13.3x10.1A","LM_21","1B",7,0.429685314685315,0
"LM","13.3x10.1A","LM_21","1B",14,0.429685314685315,0
"LM","13.3x10.1A","LM_21","1B",28,0.379685314685315,0
"LM","13.3x10.1A","LM_21","1B",56,0.379685314685315,0
"LM","13.3x10.1A","LM_21","1B",112,0.339685314685315,0
"LM","6.3x1.4A","LM_22","1B",3.5,-0.170314685314685,0
"LM","6.3x1.4A","LM_22","1B",7,-0.200314685314685,0
"LM","6.3x1.4A","LM_22","1B",14,-0.220314685314685,0
"LM","6.3x1.4A","LM_22","1B",28,-0.170314685314685,0
"LM","6.3x1.4A","LM_22","1B",56,-0.160314685314685,0
"LM","6.3x1.4A","LM_22","1B",112,-0.190314685314685,0
"LM","13.3x10.1A","LM_23","1B",3.5,0.249685314685315,0
"LM","13.3x10.1A","LM_23","1B",7,0.299685314685315,0
"LM","13.3x10.1A","LM_23","1B",14,0.209685314685315,0
"LM","13.3x10.1A","LM_23","1B",28,0.199685314685315,0
"LM","13.3x10.1A","LM_23","1B",56,0.329685314685315,0
"LM","13.3x10.1A","LM_23","1B",112,0.259685314685315,0
"LM","8.4x3.3A","LM_24","1B",3.5,0.019685314685315,0
"LM","8.4x3.3A","LM_24","1B",7,0.149685314685314,0
"LM","8.4x3.3A","LM_24","1B",14,0.0596853146853151,0
"LM","8.4x3.3A","LM_24","1B",28,0.0296853146853148,0
"LM","8.4x3.3A","LM_24","1B",56,0.019685314685315,0
"LM","8.4x3.3A","LM_24","1B",112,-0.000314685314685002,0
"LM","9.3x12.4","LM_25","1B",3.5,-0.140314685314685,0
"LM","9.3x12.4","LM_25","1B",7,-0.020314685314685,0
"LM","9.3x12.4","LM_25","1B",14,-0.040314685314685,0
"LM","9.3x12.4","LM_25","1B",28,-0.0503146853146853,0
"LM","9.3x12.4","LM_25","1B",56,-0.000314685314685002,0
"LM","9.3x12.4","LM_25","1B",112,0.0296853146853148,0
"LM","6.3x1.4A","LM_26","2",3.5,-0.750314685314685,0
"LM","6.3x1.4A","LM_26","2",7,-0.720314685314685,0
"LM","6.3x1.4A","LM_26","2",14,-0.180314685314685,0
"LM","6.3x1.4A","LM_26","2",28,-0.750314685314685,0
"LM","6.3x1.4A","LM_26","2",56,-0.210314685314685,0
"LM","6.3x1.4A","LM_26","2",112,-0.730314685314685,0
"LM","5.3x12.4A","LM_27","2",3.5,0.0696853146853148,0
"LM","5.3x12.4A","LM_27","2",7,0.129685314685315,0
"LM","5.3x12.4A","LM_27","2",14,0.0896853146853148,0
"LM","5.3x12.4A","LM_27","2",28,-0.0103146853146852,0
"LM","5.3x12.4A","LM_27","2",56,0.0596853146853151,0
"LM","5.3x12.4A","LM_27","2",112,0.039685314685315,0
"LM","9.3x12.4","LM_28","2",3.5,0.119685314685315,0
"LM","9.3x12.4","LM_28","2",7,-0.020314685314685,0
"LM","9.3x12.4","LM_28","2",14,0.0596853146853151,0
"LM","9.3x12.4","LM_28","2",28,0.039685314685315,0
"LM","9.3x12.4","LM_28","2",56,0.0696853146853148,0
"LM","9.3x12.4","LM_28","2",112,0.0496853146853148,0
"LM","6.3x1.4A","LM_29","2",3.5,-0.210314685314685,0
"LM","6.3x1.4A","LM_29","2",7,-0.200314685314685,0
"LM","6.3x1.4A","LM_29","2",14,-0.120314685314685,0
"LM","6.3x1.4A","LM_29","2",28,-0.0903146853146853,0
"LM","6.3x1.4A","LM_29","2",56,-0.120314685314685,0
"LM","6.3x1.4A","LM_29","2",112,-0.270314685314685,0
"LM","12.4x1.4A","LM_30","2",3.5,0.139685314685315,0
"LM","12.4x1.4A","LM_30","2",7,0.0296853146853148,0
"LM","12.4x1.4A","LM_30","2",14,0.0996853146853146,0
"LM","12.4x1.4A","LM_30","2",28,0.119685314685315,0
"LM","12.4x1.4A","LM_30","2",56,0.119685314685315,0
"LM","12.4x1.4A","LM_30","2",112,0.039685314685315,0
"LM","6.3x3.4A","LM_31","2",3.5,-0.140314685314685,0
"LM","6.3x3.4A","LM_31","2",7,-0.170314685314685,0
"LM","6.3x3.4A","LM_31","2",14,-0.0703146853146853,0
"LM","6.3x3.4A","LM_31","2",28,-0.0703146853146853,0
"LM","6.3x3.4A","LM_31","2",56,-0.040314685314685,0
"LM","6.3x3.4A","LM_31","2",112,-0.110314685314685,0
"LM","3.3x9.3A","LM_32","2B",3.5,-0.0503146853146853,0
"LM","3.3x9.3A","LM_32","2B",7,-0.490314685314685,0
"LM","3.3x9.3A","LM_32","2B",14,0.0896853146853148,0
"LM","3.3x9.3A","LM_32","2B",28,-0.020314685314685,0
"LM","3.3x9.3A","LM_32","2B",56,-0.110314685314685,0
"LM","3.3x9.3A","LM_32","2B",112,-0.0103146853146852,0
"LM","3.3x9.3A","LM_33","2B",3.5,0.109685314685314,0
"LM","3.3x9.3A","LM_33","2B",7,-0.100314685314685,0
"LM","3.3x9.3A","LM_33","2B",14,-0.040314685314685,0
"LM","3.3x9.3A","LM_33","2B",28,-0.0503146853146853,0
"LM","3.3x9.3A","LM_33","2B",56,-0.0903146853146853,0
"LM","3.3x9.3A","LM_33","2B",112,0.019685314685315,0
"LM","8.4x3.3A","LM_34","2B",3.5,-0.020314685314685,0
"LM","8.4x3.3A","LM_34","2B",7,0.00968531468531478,0
"LM","8.4x3.3A","LM_34","2B",14,-0.120314685314685,0
"LM","8.4x3.3A","LM_34","2B",28,-0.040314685314685,0
"LM","8.4x3.3A","LM_34","2B",56,0.0296853146853148,0
"LM","9.3x12.4","LM_35","2B",3.5,-0.000314685314685002,0
"LM","9.3x12.4","LM_35","2B",7,0.039685314685315,0
"LM","9.3x12.4","LM_35","2B",14,0.119685314685315,0
"LM","9.3x12.4","LM_35","2B",28,0.00968531468531478,0
"LM","9.3x12.4","LM_35","2B",56,0.00968531468531478,0
"LM","9.3x12.4","LM_35","2B",112,0.00968531468531478,0
"LM","3.3x9.3A","LM_36","2B",3.5,0.039685314685315,0
"LM","3.3x9.3A","LM_36","2B",7,0.039685314685315,0
"LM","3.3x9.3A","LM_36","2B",14,-0.000314685314685002,0
"LM","3.3x9.3A","LM_36","2B",28,0.0796853146853151,0
"LM","3.3x9.3A","LM_36","2B",56,-0.140314685314685,0
"LM","3.3x9.3A","LM_36","2B",112,0.0996853146853146,0
"LM","6.3x3.4A","LM_37","2B",3.5,-0.0903146853146853,0
"LM","6.3x3.4A","LM_37","2B",7,-0.120314685314685,0
"LM","6.3x3.4A","LM_37","2B",14,-0.180314685314685,0
"LM","6.3x3.4A","LM_37","2B",28,-0.040314685314685,0
"LM","6.3x3.4A","LM_37","2B",56,-0.140314685314685,0
"LM","6.3x3.4A","LM_37","2B",112,-0.110314685314685,0
"LM","19.4x8.4A","LM_38","3",3.5,-0.0103146853146852,0
"LM","19.4x8.4A","LM_38","3",7,-0.0603146853146851,0
"LM","19.4x8.4A","LM_38","3",14,-0.210314685314685,0
"LM","19.4x8.4A","LM_38","3",28,0.019685314685315,0
"LM","19.4x8.4A","LM_38","3",56,-0.120314685314685,0
"LM","19.4x8.4A","LM_38","3",112,-0.0703146853146853,0
"LM","6.3x3.4A","LM_39","3",3.5,-0.0503146853146853,0
"LM","6.3x3.4A","LM_39","3",7,0.109685314685314,0
"LM","6.3x3.4A","LM_39","3",14,-0.000314685314685002,0
"LM","6.3x3.4A","LM_39","3",28,-0.020314685314685,0
"LM","6.3x3.4A","LM_39","3",56,-0.0503146853146853,0
"LM","6.3x3.4A","LM_39","3",112,-0.410314685314685,0
