"table","pop","sp","treat","plant","GAD","ASD","GSD","GA","UBW","UBL","LBL","LBW"
3,"CO","S","W","CO.W.1.16",3.18,0,3.69,3.2,19.11,17.94,20.05,20.13
3,"CO","S","W","CO.W.1.16",3,0.39,5.33,2.86,16.59,16.72,20.16,18.49
3,"CO","S","D","CO.W.1.16",2.23,0,2.71,3.06,16.88,16.49,18.69,18.33
3,"CO","S","D","CO.W.1.16",2.51,0,2.63,3.06,15.32,14.9,16.59,15.85
3,"CO","S","W","CO.W.1.17",3.1,0,4.78,3.37,19.72,19.27,22.86,21.22
3,"CO","S","W","CO.W.1.17",2.85,1.82,4.22,3.52,21.62,20.7,22.15,23.99
3,"CO","S","D","CO.W.1.17",2.37,0,4.43,3.09,16.28,15.76,17.78,18.76
3,"CO","S","D","CO.W.1.17",2.5,0,3.2,2.64,14.79,13.53,16.89,16.92
4,"CO","S","D","CO.W.1.18",3.12,0.41,2.22,3.12,15.78,14.85,17.48,16.59
4,"CO","S","D","CO.W.1.18",1.92,0,3.09,2.8,13.68,12.89,15.19,14.34
4,"CO","S","W","CO.W.1.18",2.78,1.29,4.54,2.89,18.78,18.16,20.93,20.6
4,"CO","S","W","CO.W.1.18",2.7,2.3,5.26,3.57,21.92,19,22.26,23.07
2,"CO","S","D","CO.W.1.19",3.23,0,3.11,3.45,22.12,21.09,22.94,23.14
2,"CO","S","D","CO.W.1.19",3.06,1.36,4.68,3.51,21.22,18.09,22.04,22.6
2,"CO","S","W","CO.W.1.19",3.46,0,3.96,3.1,19.57,18.05,20.25,20.69
2,"CO","S","W","CO.W.1.19",3.03,1.14,4.74,3.18,20.71,17.89,19.17,20.32
1,"CO","S","W","CO.W.1.20",3.43,0,4.28,3.79,21.16,19.6,22.31,22.17
1,"CO","S","W","CO.W.1.20",3.07,1.97,5.01,3.43,22.96,21.12,24.4,24.44
1,"CO","S","D","CO.W.1.20",3.16,0,3.4,2.99,18.02,17.61,18.7,19.42
1,"CO","S","D","CO.W.1.20",2.56,0,2.92,3.03,16.27,16.61,18.23,16.91
2,"CO","S","D","CO.W.1.21",3.08,0,3.96,3.07,18.52,18.18,21.36,21.17
2,"CO","S","D","CO.W.1.21",3.05,0,3.75,3.44,18.97,17.86,19.65,18.93
2,"CO","S","W","CO.W.1.21",2.51,0,4.71,3.38,21.53,20.09,22.04,23.21
2,"CO","S","W","CO.W.1.21",3.16,0.28,5.09,2.76,18.91,17.42,18.83,20.16
1,"CO","S","W","CO.W.1.22",3.41,0,4.35,3.81,22.06,20.94,22.09,22.18
1,"CO","S","W","CO.W.1.22",2.94,0,3.33,3,19.97,18.93,20.94,21.26
1,"CO","S","D","CO.W.1.22",1.71,0,3.03,2.67,15.07,14.42,16.6,16.79
1,"CO","S","D","CO.W.1.22",2.47,0.3,4.53,2.89,14.75,13.24,15.72,15.75
4,"CO","S","D","CO.W.1.23",3.37,0.7,5.65,3.58,20.97,20.39,21.97,20.79
4,"CO","S","D","CO.W.1.23",2.99,0.71,4.52,3.52,20.82,19.68,22.82,22.86
4,"CO","S","W","CO.W.1.23",2.09,3.83,5.85,3.21,22.63,19.75,23.41,23.54
4,"CO","S","W","CO.W.1.23",2.31,0,3.46,3.06,21.72,18.68,21.57,21.74
2,"CO","S","D","CO.W.1.24",3.03,0,3.46,2.83,16.67,16.72,16.25,16.81
2,"CO","S","D","CO.W.1.24",2.53,0,2.25,2.73,14.09,13.86,15.67,14.11
2,"CO","S","W","CO.W.1.24",3.21,1.79,6,3.36,24.98,21.71,23.45,25.69
2,"CO","S","W","CO.W.1.24",3.07,0,4.53,3.46,23.59,20.48,24.46,24.12
2,"CO","S","D","CO.W.1.25",2.24,0,3.01,2.54,14.03,12.84,14.91,14.8
2,"CO","S","D","CO.W.1.25",NA,NA,NA,NA,NA,NA,NA,NA
2,"CO","S","W","CO.W.1.25",2.96,0,4.27,2.96,21.29,19.05,20.36,22.72
2,"CO","S","W","CO.W.1.25",2.56,0.3,3.67,3.12,19.15,17.58,19.73,20.67
3,"CO","S","W","CO.W.1.26",3.36,0,3.29,3.51,18.77,18.11,19.89,19.61
3,"CO","S","W","CO.W.1.26",2.71,0,2.99,3.33,19.04,19.61,20.7,21.33
3,"CO","S","D","CO.W.1.26",NA,NA,NA,NA,NA,NA,NA,NA
3,"CO","S","D","CO.W.1.26",2.79,1.19,5.16,2.82,18.62,16.15,18.95,19.6
3,"PM","L","W","PM.W.1.00",NA,NA,NA,NA,NA,NA,NA,NA
3,"PM","L","W","PM.W.1.00",NA,NA,NA,NA,NA,NA,NA,NA
3,"PM","L","D","PM.W.1.00",NA,NA,4.39,3.58,23.11,20.88,23.34,23.15
3,"PM","L","D","PM.W.1.00",5.35,3.7,2.81,3.15,16.59,17.76,20.08,18.62
3,"PM","L","W","PM.W.1.01",5.27,2.3,5.09,3.65,19.78,20.42,22.94,20.86
3,"PM","L","W","PM.W.1.01",4.68,1.6,3.67,3.62,16.21,16.37,19.13,17.33
3,"PM","L","D","PM.W.1.01",5.59,3.76,3.57,3.81,17.45,16.05,17.62,19.02
3,"PM","L","D","PM.W.1.01",4.13,2.24,3.56,3.8,16.35,16.92,18.33,16.73
3,"PM","L","W","PM.W.1.02",7,2.2,6.1,5.03,27.86,22.55,26.91,26.9
3,"PM","L","W","PM.W.1.02",6.3,2.26,5.48,4.61,23.75,22.49,26.42,25.05
3,"PM","L","D","PM.W.1.02",5.1,2.73,3.36,3.19,14.55,13.34,13.79,14.3
3,"PM","L","D","PM.W.1.02",4.99,2.93,4.08,3.75,15.54,14.65,15.61,15.03
2,"PM","L","D","PM.W.1.03",5.22,2.95,4.52,3.97,20.22,18.71,18.57,19.52
2,"PM","L","D","PM.W.1.03",5.2,3.1,4.34,3.25,17.89,16.15,17.5,18.39
2,"PM","L","W","PM.W.1.03",6.82,0.92,6.28,3.56,25.08,23.74,24.64,25.65
2,"PM","L","W","PM.W.1.03",NA,NA,NA,NA,NA,NA,NA,NA
2,"PM","L","D","PM.W.1.04",5.58,4.36,3.76,3.53,15.47,14.65,15.72,15.2
2,"PM","L","D","PM.W.1.04",5.87,5.18,3.31,3.66,16.83,15.54,16.21,16.28
2,"PM","L","W","PM.W.1.04",6.71,4.22,5.97,5.73,32,28.68,30.81,30.94
2,"PM","L","W","PM.W.1.04",7.29,3.75,4.64,5.3,25.2,25.8,26.97,25.55
2,"PM","L","D","PM.W.1.04b",3.54,3.23,3.61,3.37,16.76,17.24,18.61,17.34
2,"PM","L","D","PM.W.1.04b",4.15,4.37,3.68,3.37,14.15,12.49,13.38,14.76
2,"PM","L","W","PM.W.1.04b",6.3,1.74,5.24,4.29,22.16,18.3,21.07,22.29
2,"PM","L","W","PM.W.1.04b",6.92,2.21,5.32,4.28,20.91,21.49,23.12,21.18
1,"PM","L","W","PM.W.1.05",6.28,1.74,5.64,4.62,23.69,19.99,22.15,22.3
1,"PM","L","W","PM.W.1.05",5.99,2.54,5.6,4.53,20.95,19.25,20.65,21.29
1,"PM","L","D","PM.W.1.05",6.25,4.07,4.5,4.09,18.46,17.69,19.22,19.85
1,"PM","L","D","PM.W.1.05",4.94,2.85,3.88,3.18,14.88,13.97,15.88,15.04
4,"PM","L","D","PM.W.1.06",5.31,2.47,4.61,4.33,18.87,16.45,18.05,20.33
4,"PM","L","D","PM.W.1.06",5.46,2.89,3.48,3.41,16.3,13.42,15.55,18.13
4,"PM","L","W","PM.W.1.06",6.1,2.38,5.67,4.45,25.26,18.28,24.04,28.27
4,"PM","L","W","PM.W.1.06",3.77,3.68,4.45,3.85,22.55,21.3,23.86,26.35
4,"PM","L","D","PM.W.1.07",5.49,3.65,4.17,3.98,20.93,16.6,20.03,20.36
4,"PM","L","D","PM.W.1.07",5.43,3.08,3.47,3.9,17.99,16.05,17.28,18.71
4,"PM","L","W","PM.W.1.07",6.97,2.53,5.23,4.64,25.07,21.32,23.95,25.1
4,"PM","L","W","PM.W.1.07",6.58,2.7,4.99,5.04,24.57,22.29,24.33,24.07
3,"PM","L","W","PM.W.1.08",6.81,2.48,3.97,4.42,19.61,18.29,20.73,20.37
3,"PM","L","W","PM.W.1.08",5.76,4.34,4.5,4.78,21.1,19.79,21.92,22.17
3,"PM","L","D","PM.W.1.08",4.87,3.66,3.74,4.14,19.77,17.98,22.24,22.06
3,"PM","L","D","PM.W.1.08",5.43,3.81,3.29,4.11,16.06,16.85,17.59,16.27
1,"PM","L","W","PM.W.1.09",5.27,2.01,6.06,4.07,22.41,20.81,23.42,23.23
1,"PM","L","W","PM.W.1.09",6.64,2.21,4.75,4.09,22.9,21.56,24.08,24.38
1,"PM","L","D","PM.W.1.09",2.91,2.68,3.14,2.66,13.2,12.11,14.46,13.06
1,"PM","L","D","PM.W.1.09",3,2.55,2.37,2.71,11.42,11.67,13.02,12.42
2,"PM","L","D","PM.W.1.10",5.2,3.43,3.43,4.24,18.68,18.9,19.97,17.82
2,"PM","L","D","PM.W.1.10",5.68,3.44,3.91,3.9,18.78,18.16,20.76,19.43
2,"PM","L","W","PM.W.1.10",5.76,2.41,4.7,4.64,25.11,21.74,23.76,22.64
2,"PM","L","W","PM.W.1.10",4.88,3.66,4.37,4.98,23.33,23.23,24.91,23.75
3,"PM","L","W","PM.W.1.11",4.37,3.57,4.74,4.04,23.1,23.35,24.86,22.06
3,"PM","L","W","PM.W.1.11",4.85,2.34,4.84,4.07,23.82,24.48,27.91,25.92
3,"PM","L","D","PM.W.1.11",5.64,3.35,4.84,3.34,20.96,20.57,21.62,22.04
3,"PM","L","D","PM.W.1.11",4.91,3.69,4.02,4.25,20.05,21.03,22.02,21.34
3,"PM","L","W","PM.W.1.12",5.32,1.51,5.78,4.57,23.57,21.83,22.08,21.77
3,"PM","L","W","PM.W.1.12",5.44,2.43,4.51,3.86,21.35,20.04,22.55,21.59
3,"PM","L","D","PM.W.1.12",3.45,2.81,3.12,3.33,15.74,15.57,17.53,16.99
3,"PM","L","D","PM.W.1.12",5.06,3.01,4.35,3.68,18.5,17.36,19.56,18.43
1,"PM","L","W","PM.W.1.13",3.36,0,3.94,3.84,22.09,20.47,22.12,24.35
1,"PM","L","W","PM.W.1.13",3.36,0.24,3.91,3.64,22.6,21.76,22.21,23.54
1,"PM","L","D","PM.W.1.13",5.2,2.18,5.12,4,21.03,19.01,21.36,20.54
1,"PM","L","D","PM.W.1.13",NA,NA,NA,NA,NA,NA,NA,NA
