table;pop;sp;treat;plant;GAD;ASD;MF;GSDr;GSDc;GSDl;GSD;GW;GHr;GHl;GA;UBW;UBL;LBW;LBL;UB;LB
1;PM;L;W;PM.W.1.13;3,36;0,24;10;3,46;4,65;3,61;3,91;6,2;2,1;2,18;3,64;22,6;21,76;23,54;22,21;22,18;22,87
1;PM;L;D;PM.W.1.13;5,2;2,18;10;4,36;6,13;4,88;5,12;6,14;2,41;2,79;4,00;21,03;19,01;20,54;21,36;19,99;20,95
1;PM;L;D;PM.W.1.13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;PM;L;W;PM.W.1.14;5,97;4,65;10;6,58;6,42;5,77;6,26;7,8;3,11;2,71;4,76;25,7;19,98;24,13;23,54;22,66;23,83
3;PM;L;W;PM.W.1.14;6,4;3,52;6;3,82;5,54;4,57;4,64;5,9;2,46;2,23;3,72;17,55;15,88;15,06;15,89;16,69;15,47
3;PM;L;D;PM.W.1.14;4,34;3,24;9;3,24;5,64;4,14;4,34;5,6;1,93;2,4;3,48;15,85;14,13;15,4;15,03;14,97;15,21
3;PM;L;D;PM.W.1.14;4,72;4,23;NA;2,22;3,23;2,36;2,60;5,16;2,05;2,17;3,30;14,49;13,27;14,56;14,43;13,87;14,49
4;PM;L;D;PM.W.1.15;5,55;1,88;10;4,03;4,76;4,11;4,3;6,33;2,29;2,18;3,76;18,05;16,66;18,95;19,01;17,34;18,98
4;PM;L;D;PM.W.1.15;3,79;2,5;10;2,68;4,03;3,1;3,27;5,85;2,44;2,08;3,64;15,66;13,53;14,22;15,09;14,56;14,65
4;PM;L;W;PM.W.1.15;5,34;2,8;10;4,65;5,4;5,19;5,08;6,25;2,43;2,43;3,90;21,77;20,57;22,24;22,27;21,16;22,25
4;PM;L;W;PM.W.1.15;5,18;1,96;NA;5,15;6,36;5,5;5,67;5,14;2,07;2,3;3,35;19,66;21,26;23,35;24,39;20,44;23,86
2;PM;L;D;PM.W.1.16;5,01;3,59;10;4,45;5,65;5,05;5,05;5,96;1,86;2,32;3,53;18,09;16,52;17,77;16,87;17,29;17,31
2;PM;L;D;PM.W.1.16;5,72;3,89;10;4,31;5,09;3,39;4,26;6,77;2,61;2,59;4,2;19,96;19,26;18,61;17,91;19,61;18,26
2;PM;L;W;PM.W.1.16;5,3;4,02;10;3,76;3,48;4,36;3,87;5,92;2,85;3,65;4,39;20,64;19,85;21,31;22,42;20,24;21,86
2;PM;L;W;PM.W.1.16;6,72;2,18;NA;6,67;6,51;5,67;6,28;7,38;3,41;3,21;4,94;29,31;27,43;29,98;30,75;28,35;30,36
4;PM;L;D;PM.W.1.17;4,11;2,62;10;2,79;3,38;3,11;3,09;6,12;2,4;2,29;3,79;16,68;15,27;15,73;16,26;15,96;15,99
4;PM;L;D;PM.W.1.17;5,26;4,4;10;3,16;3,45;3,4;3,34;5,95;1,93;2,08;3,45;16,59;13,81;17,07;15,31;15,14;16,17
4;PM;L;W;PM.W.1.17;6,34;4,65;10;5,49;7,7;5,76;6,32;7,35;3,04;3,59;4,94;28,84;25,71;30,37;27,74;27,23;29,03
4;PM;L;W;PM.W.1.17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;PM;L;D;PM.W.1.18;6,42;3,28;10;3,83;5,25;4,64;4,57;5,44;2,13;1,77;3,26;22,32;22,8;22,37;23,55;22,56;22,95
4;PM;L;D;PM.W.1.18;5,84;3,25;10;2,79;4,72;3,29;3,6;6,23;2,92;2,95;4,28;21,71;20,58;21,64;22,92;21,14;22,27
4;PM;L;W;PM.W.1.18;6,85;4,58;10;5,67;6,39;5,38;5,81;7,87;2,87;3,13;4,86;29,28;26,94;28,88;29,86;28,09;29,37
4;PM;L;W;PM.W.1.18;4,82;3,58;NA;4,14;4,54;4,3;4,33;5,51;2,6;2,52;3,76;19,64;19,52;18,81;18,03;19,58;18,42
1;PM;L;W;PM.W.1.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;PM;L;W;PM.W.1.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;PM;L;D;PM.W.1.19;4,87;2,36;10;3,53;4,77;3,05;3,78;4,79;2,14;1,56;2,98;15,98;15,58;15,35;15,2;15,78;15,27
1;PM;L;D;PM.W.1.19;5,48;3,72;NA;3,21;3,66;3,17;3,35;4,83;2,5;2,29;3,40;14,64;15,89;14,8;15,55;15,25;15,17
2;PM;L;D;PM.W.1.20;3,22;2,6;10;2,67;3,68;3,35;3,23;5,12;2,26;2,31;3,42;16,63;14,09;17,61;16,52;15,31;17,06
2;PM;L;D;PM.W.1.20;3,23;2,61;10;2,36;3,18;3,23;2,92;4,65;2,22;1,65;3;13,7;13,67;14,88;16,3;13,68;15,57
2;PM;L;W;PM.W.1.20;7,06;3,51;10;5,71;7,12;6;6,28;6,63;2,81;2,78;4,30;27,61;26,85;31,16;28,8;27,23;29,96
2;PM;L;W;PM.W.1.20;5,63;2,12;NA;4,03;5,83;3,2;4,35;4,81;2,15;1,77;3,07;22,59;19,84;23,56;23,86;21,17;23,71
1;PM;L;W;PM.W.1.21;6,07;3,63;10;4,59;4,89;4,7;4,73;5,35;3,05;2,34;3,8;18,75;20,71;19,69;22,09;19,71;20,86
1;PM;L;W;PM.W.1.21;7,27;2,65;10;5,68;6,15;6,16;6;7,2;3,04;2,77;4,57;24,61;21,32;24,95;24,73;22,91;24,84
1;PM;L;D;PM.W.1.21;4,08;4,23;10;3,02;2,78;2,79;2,86;4,69;1,67;1,49;2,72;11,15;11,57;11,31;11,84;11,36;11,57
1;PM;L;D;PM.W.1.21;3,58;1,92;NA;2,92;3,78;2,88;3,19;3,98;1,52;1,75;2,55;10,97;12,67;11,86;13,52;11,79;12,66
4;PM;L;D;PM.W.1.22;4,99;4,8;10;2,65;3,64;2,67;2,99;5,98;1,85;1,96;3,38;13,04;12,43;13,35;13,65;12,73;13,5
4;PM;L;D;PM.W.1.22;4,89;4,14;10;3,14;3,61;2,48;3,08;4,66;1,71;1,71;2,82;13,85;11,93;13,4;13,2;12,85;13,3
4;PM;L;W;PM.W.1.22;6,1;4,87;10;5,2;5,87;5,38;5,48;6,2;2,23;3,29;4,14;25,04;23,93;25,1;26,15;24,48;25,62
4;PM;L;W;PM.W.1.22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;PM;L;D;PM.W.1.23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;PM;L;D;PM.W.1.23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;PM;L;W;PM.W.1.23;5,62;2,61;10;4,16;6,27;5,28;5,24;6,54;2,48;2,33;3,97;22;19,15;21,65;20,65;20,53;21,14
2;PM;L;W;PM.W.1.23;5,08;1,87;NA;3,68;4,93;4,8;4,47;5,85;2,03;2,58;3,67;19,4;17,95;17,56;18,69;18,66;18,12
4;PM;L;D;PM.W.1.24;5,74;3,3;10;2,57;4,52;3,05;3,38;5,93;2,43;2,18;3,7;20,59;17,48;21,24;19,32;18,97;20,26
4;PM;L;D;PM.W.1.24;5,3;2,87;10;3,46;4,12;2,97;3,52;5,13;2;1,97;3,19;16,47;14,25;16,7;16,6;15,32;16,65
4;PM;L;W;PM.W.1.24;6,36;3,53;10;4,47;6,02;4,79;5,09;6,44;2,68;3,02;4,28;24,62;23,93;25,41;26,03;24,27;25,72
4;PM;L;W;PM.W.1.24;4,8;3,36;NA;3,49;4,64;3,76;3,96;5,63;2,42;2,6;3,76;20,5;22,38;23,6;25,34;21,42;24,45
1;PM;L;W;PM.W.1.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;PM;L;W;PM.W.1.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;PM;L;D;PM.W.1.25;5,64;2,4;10;4,71;4,68;4,46;4,62;5,65;2,66;2,34;3,76;19,8;18,11;21,05;20,74;18,94;20,89
1;PM;L;D;PM.W.1.25;4,73;3,04;NA;3,11;4,21;3,57;3,63;5,97;2,62;2,45;3,89;16,34;16,53;16,43;17,68;16,43;17,04
1;PM;L;W;PM.W.1.26;6,67;1,17;10;5,9;6,95;5,51;6,12;6,64;3,17;3,19;4,6;25,4;23,45;24,33;25,06;24,41;24,69
1;PM;L;W;PM.W.1.26;5,37;2,08;11;4,78;5,91;5,36;5,35;7,3;3,28;3,24;4,88;23,69;21,56;22,56;21,99;22,6;22,27
1;PM;L;D;PM.W.1.26;5,23;3,64;10;3,68;4,37;NA;4,03;5,48;2,25;2,08;3,44;18,72;16,46;17,54;17,76;17,55;17,65
1;PM;L;D;PM.W.1.26;4,84;3,13;NA;4,06;4,83;4,2;4,36;5,37;2,1;2,33;3,45;16,11;14,88;15,26;15,29;15,48;15,27
1;T;L;W;51.W.1.00;4,31;3,52;10;3,45;3,46;3,02;3,31;5,61;2,08;2,07;3,41;20,42;19,4;21;22,74;19,9;21,85
1;T;L;W;51.W.1.00;4,72;2,03;10;3,41;4,91;4,44;4,25;6,65;2,36;2,28;3,93;19,11;18,39;20,22;20,95;18,75;20,58
1;T;L;D;51.W.1.00;4,25;2,44;10;3,17;4,04;4,46;3,89;5,26;1,92;1,92;3,18;15,12;13,12;15,26;14,86;14,08;15,06
1;T;L;D;51.W.1.00;4,04;3,08;NA;3,19;4,22;3,39;3,60;4,96;2,06;2,04;3,19;17,37;14,76;17,18;17,06;16,01;17,12
3;T;L;W;51.W.1.01;4,26;2,52;10;4,28;5,59;4,68;4,85;5,62;2,36;2,45;3,68;21,23;19,13;20,94;19,52;20,15;20,22
3;T;L;W;51.W.1.01;5,5;3,59;10;5,2;6,63;5,73;5,85;7,47;2,58;2,38;4,3;23,59;19,05;23,38;20,37;21,2;21,82
3;T;L;D;51.W.1.01;4,08;2,34;10;3,91;4,89;4,07;4,29;5,49;2,45;2,56;3,71;16,6;12,81;16,97;15,75;14,58;16,35
3;T;L;D;51.W.1.01;2,92;2,45;NA;2,13;3,36;2,95;2,81;5,23;1,9;1,32;2,90;13,87;13,57;16,5;15,34;13,72;15,91
4;T;L;D;51.W.1.02;4,16;3,32;10;3,12;4,57;3,39;3,69;6,06;1,99;2,08;3,51;14,83;12,88;13,83;13,23;13,82;13,53
4;T;L;D;51.W.1.02;4,2;2,35;10;4,27;4,84;4,67;4,59;6,04;2,83;2,98;4,19;18,58;14,78;19,83;16,05;16,57;17,84
4;T;L;W;51.W.1.02;5,93;2,43;10;5,11;6,74;5,59;5,81;7,52;3,11;3,21;4,87;24,93;16,69;26,83;22,5;20,40;24,57
4;T;L;W;51.W.1.02;5,61;1,81;NA;5,17;6,27;5,36;5,60;6,36;2,66;2,32;3,98;24,94;18,92;22,69;20,29;21,72;21,46
4;T;L;D;51.W.1.03;5,33;2,96;9;5,98;6,96;6,11;6,35;7,96;3,06;2,42;4,67;25,43;20,4;25,71;22,02;22,78;23,79
4;T;L;D;51.W.1.03;5,4;2,66;10;5,72;6,92;5,75;6,13;8,05;3,66;3,74;5,46;25,27;18,96;27,43;20,47;21,89;23,7
4;T;L;W;51.W.1.03;5,48;3,32;10;6,77;8,73;6,93;7,48;8,71;3,73;3,95;5,78;29,71;21,92;30,03;24,96;25,52;27,38
4;T;L;W;51.W.1.03;5,95;1,51;NA;6;7,07;5,7;6,26;7,77;3,01;3,63;5,08;32,95;25,43;32,39;29,74;28,95;31,04
1;T;L;W;51.W.1.04;5,33;2,76;10;5,58;6,57;5,48;5,88;7,06;3,41;2,98;4,75;27,09;22,03;26,86;26,43;24,43;26,64
1;T;L;W;51.W.1.04;5,61;4,14;10;4,47;5,64;4,85;4,99;6,9;2,76;2,15;4,12;21,94;18,68;20,9;19,49;20,24;20,18
1;T;L;D;51.W.1.04;4,65;2,24;10;3,12;4,89;4,34;4,12;5,33;2,21;2,26;3,45;18,87;15,19;19,5;17,63;16,93;18,54
1;T;L;D;51.W.1.04;4,46;3,97;NA;2,63;3,85;3,56;3,35;5,16;2,26;2;3,32;19,29;17,88;18,13;18,16;18,57;18,14
2;T;L;D;51.W.1.05;4,51;1,91;8;4,3;5,19;4,69;4,73;6,35;2,55;2;3,8;20,66;15,94;20,91;18,74;18,15;19,8
2;T;L;D;51.W.1.05;5,45;3,36;10;5,19;6,29;5,2;5,56;6,15;2,6;2,84;4,09;20,16;14,7;20,2;18,56;17,21;19,36
2;T;L;W;51.W.1.05;5,08;3,67;9;5,67;7,04;5,75;6,15;5,5;2,17;1,13;3,01;22,08;19,68;24,26;22,6;20,85;23,42
2;T;L;W;51.W.1.05;5,33;2,68;NA;5,28;6,37;5,92;5,86;5,55;2,68;2,37;3,74;23;18,65;22,48;21,46;20,71;21,96
2;T;L;D;51.W.1.06;5,11;3,25;9;4,44;5,78;4,73;4,98;6,87;2,58;2,22;4,06;20,67;17,33;19,9;19;18,93;19,44
2;T;L;D;51.W.1.06;5,02;3,1;8;3,85;4,17;3,63;3,88;6,75;2,99;2,88;4,45;18,03;14,99;18,29;16,55;16,44;17,4
2;T;L;W;51.W.1.06;5,63;3,02;10;4,86;5,93;4,64;5,14;5,85;2,19;2,08;3,53;21,8;19,43;23,41;23,89;20,58;23,65
2;T;L;W;51.W.1.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;T;L;D;51.W.1.07;4,96;4,16;10;5,19;5,63;4,72;5,18;6,26;2,62;2,93;4,17;21,61;17,32;22,27;18,47;19,35;20,28
4;T;L;D;51.W.1.07;5;2,54;10;4,09;5,27;4,65;4,67;6,9;1,89;2,22;3,77;18,06;14,64;18,95;17,26;16,26;18,09
4;T;L;W;51.W.1.07;5,41;3,83;10;5,2;6,67;5,23;5,70;7,21;3,01;3,4;4,81;23,44;18,74;25,88;22,97;20,96;24,38
4;T;L;W;51.W.1.07;5,62;1,95;NA;4,41;6,64;4,78;5,28;6,18;2,45;2,68;3,98;21,36;18,53;20,7;19,25;19,89;19,96
3;T;L;W;51.W.1.08;5,13;2,9;10;4,44;6,82;5,23;5,5;6,56;2,67;2,42;4,09;22,66;19,87;23,18;22,22;21,22;22,69
3;T;L;W;51.W.1.08;5;1,7;10;5,3;6,04;5,26;5,53;7,46;2,53;2,64;4,39;23,47;19,84;25,15;23,21;21,58;24,16
3;T;L;D;51.W.1.08;5,14;4,08;10;3,63;4,32;3,86;3,94;6;2,39;2,68;3,90;17;14,6;15,02;15,35;15,75;15,18
3;T;L;D;51.W.1.08;5,78;2,92;NA;3,65;3,92;3,06;3,54;5,08;2,21;1,95;3,25;18,76;17,28;20,51;19,6;18,00;20,05
2;T;L;D;51.W.1.09;4,05;2,75;10;3,32;5,08;3,88;4,09;5,1;2,09;1,94;3,21;17,45;17,3;18,83;20,77;17,37;19,78
2;T;L;D;51.W.1.09;4,55;2,89;10;3,68;5,19;4,33;4,4;5,85;2,16;2,52;3,7;17,91;15,33;19,6;17,08;16,57;18,3
2;T;L;W;51.W.1.09;5,31;2,56;10;3,81;5,39;3,48;4,23;5,46;2,56;2,14;3,58;20,51;18,99;20,77;21,18;19,74;20,97
2;T;L;W;51.W.1.09;5,82;2,38;NA;4,93;5,61;5,2;5,25;6,39;2,88;3,01;4,34;20,69;20,55;21,88;22,78;20,62;22,33
1;T;L;W;51.W.1.10;4,7;1,29;10;5,09;6,35;5,39;5,61;6,37;2,69;2,87;4,21;21,64;19,71;22,65;22,9;20,65;22,77
1;T;L;W;51.W.1.10;3,76;2,88;10;4,63;6,3;5,1;5,34;7,37;2,83;2,68;4,51;19,95;15,88;18,84;17,77;17,8;18,3
1;T;L;D;51.W.1.10;3,92;1,54;10;3,1;4,4;3,94;3,81;6,04;2,68;2,68;4,02;17,6;14,81;17,67;16,26;16,14;16,95
1;T;L;D;51.W.1.10;3,09;2,42;NA;2,78;3,44;2,77;3,00;5,47;1,97;2,37;3,45;14,78;12,17;14,54;15,01;13,41;14,77
3;T;L;W;51.W.1.11;4,6;3,1;10;4,09;5,67;5,24;5;5,55;2,66;2,23;3,68;18,37;14,63;17,51;16,33;16,39;16,91
3;T;L;W;51.W.1.11;5,45;2,15;10;4,83;6,89;6,45;6,06;6,06;2,33;2,91;3,98;20,56;18,38;21,83;20,89;19,44;21,35
3;T;L;D;51.W.1.11;4,69;2,6;10;3,45;4,46;3,42;3,78;6;2,53;2,21;3,77;14,44;13,11;15,63;14,55;13,76;15,08
3;T;L;D;51.W.1.11;3,66;3,16;NA;3,42;3,38;3,76;3,52;6,06;2,18;2,51;3,77;14,58;12,23;14,29;12,95;13,35;13,60
1;T;L;W;51.W.1.12;5,46;3,52;7;4,56;5,58;5,85;5,33;8,19;4,29;4,58;6,03;23,17;16,45;21,51;20,28;19,52;20,89
1;T;L;W;51.W.1.12;5,83;1,87;10;6,07;7,09;5,11;6,09;7,02;3,28;3,59;4,91;21,99;20,38;23,81;22,96;21,17;23,38
1;T;L;D;51.W.1.12;5,45;3,64;9;3,26;4,92;4,21;4,13;5,87;1,9;1,7;3,25;19,99;18,29;20,49;20,91;19,12;20,70
1;T;L;D;51.W.1.12;4,64;3,74;NA;3,1;3,81;3,67;3,53;5,15;1,86;1,79;3,07;17,22;14,75;15,07;14;15,94;14,53
3;T;L;W;51.W.1.13;5,33;0,93;10;4,42;6;4,37;4,93;6,94;3,06;2,75;4,49;21,32;17,25;20,92;18,93;19,18;19,9
3;T;L;W;51.W.1.13;5,35;2,36;10;5,26;6,08;5,5;5,61;6,88;1,75;2,49;3,82;19;15,66;18,95;16,74;17,25;17,81
3;T;L;D;51.W.1.13;1,65;1,42;10;2,76;3,18;2,81;2,92;5,54;2,13;2,24;3,48;14,75;10,94;14,11;13,28;12,70;13,69
3;T;L;D;51.W.1.13;3,84;2,56;NA;3,69;4,14;3,32;3,72;4,69;1,99;1,75;2,96;13,64;11,95;12,73;12,1;12,77;12,41
2;T;L;D;51.W.1.14;2,42;1,99;10;3,19;4,3;3,9;3,8;5,14;2,17;2,19;3,35;15,56;12,87;16,68;14,4;14,15;15,5
2;T;L;D;51.W.1.14;2,73;2,68;9;2,45;3,53;3,11;3,03;5,64;1,86;1,76;3,2;13,7;11,42;13,78;14,51;12,51;14,14
2;T;L;W;51.W.1.14;4,77;3,26;10;5,52;5,82;5,05;5,46;5,16;2,58;2,59;3,65;21,59;20,57;21,99;20,79;21,07;21,38
2;T;L;W;51.W.1.14;5,66;1,46;NA;5,43;6,27;5,42;5,71;7,81;3,35;2,85;4,92;24,83;20,08;24,92;23,26;22,33;24,08
3;T;L;W;51.W.1.15;5,48;1,93;9;5,81;7,17;6,18;6,39;7,02;3,32;2,66;4,58;25,44;19,51;24,63;22,77;22,28;23,68
3;T;L;W;51.W.1.15;5,16;1,9;9;6,13;6,88;5,88;6,3;7,81;2,85;2,66;4,64;25,8;20,5;27,94;22,66;23;25,16
3;T;L;D;51.W.1.15;4,83;2,73;10;3,78;4,13;3,33;3,75;5,47;1,81;2,08;3,26;18,04;15,07;19,93;17,67;16,49;18,77
3;T;L;D;51.W.1.15;2,03;0,7;NA;3,15;4,12;2,44;3,24;6,41;2,32;2,66;4,00;16,18;11,85;16,57;14,58;13,85;15,54
4;T;L;D;51.W.1.16;4,09;2,44;10;4,02;4,51;3,56;4,03;6,1;2,62;1,95;3,73;18,92;14,64;19,52;16,36;16,64;17,87
4;T;L;D;51.W.1.16;3,48;1,42;10;3,02;4,03;3,96;3,67;5,48;2,66;2,16;3,63;18,68;14,29;17,5;16,73;16,34;17,11
4;T;L;W;51.W.1.16;5,17;3,3;9;4,25;4,7;3,94;4,30;6,95;2,97;3,62;4,79;21,23;17,79;20,36;18,58;19,43;19,45
4;T;L;W;51.W.1.16;5,66;3,87;NA;4,93;6,8;5,39;5,71;6,8;2,6;2,88;4,32;25,05;20,88;22,53;23,04;22,87;22,78
3;T;L;W;51.W.1.17;4,55;3,47;10;4,4;6,12;5,09;5,2;6,49;2,16;2,45;3,87;20,64;20,33;22,45;23,07;20,48;22,76
3;T;L;W;51.W.1.17;5,2;3,46;10;4,17;4,03;4,56;4,25;7,68;2,96;3,27;4,89;18,25;17,05;17,39;18,09;17,64;17,74
3;T;L;D;51.W.1.17;2,02;2,14;10;2,91;3,63;3,04;3,19;5,46;2,2;2,13;3,44;15,58;14,28;16,97;16,64;14,92;16,80
3;T;L;D;51.W.1.17;3,94;3,49;NA;2,8;3,42;3,08;3,10;4,79;1,6;1,86;2,88;13,83;12,57;13,39;13,57;13,18;13,48
4;T;L;D;51.W.1.18;5,25;2,99;10;5,53;7,05;5,16;5,91;6,95;2,32;2,33;4,02;24,21;18,48;22,55;21,14;21,15;21,83
4;T;L;D;51.W.1.18;2,12;0;10;1,65;2,61;1,74;2;4,82;1,67;1,75;2,87;18,46;17,54;19,23;19,94;17,99;19,58
4;T;L;W;51.W.1.18;4,83;3,24;10;4,52;5,95;4,99;5,15;6,48;2,05;2,21;3,72;22,22;17,23;23,57;20,77;19,57;22,13
4;T;L;W;51.W.1.18;4,54;2,92;NA;5,29;5,63;5,04;5,32;6,27;2,83;2,66;4,15;26,32;20,2;25,77;24,08;23,06;24,91
2;T;L;D;51.W.1.19;4,96;3,33;10;4,13;4,45;3,72;4,1;6,3;2,55;2,62;4,04;15,52;12,67;15,22;14;14,02;14,6
2;T;L;D;51.W.1.19;2,61;1,38;10;3,02;3,4;3,15;3,19;5,15;2,09;2,04;3,26;13,23;11,14;13,45;13,91;12,14;13,68
2;T;L;W;51.W.1.19;4,66;2,3;10;4,66;4,9;4,24;4,60;5,35;2,1;2,14;3,37;19,99;18,4;19,15;20,5;19,18;19,81
2;T;L;W;51.W.1.19;5,23;2,71;NA;4,59;5,28;4,59;4,82;6,66;2,88;2,51;4,24;22,42;18,63;22,81;21,93;20,44;22,37
1;T;L;W;51.W.1.20;5,11;2,45;10;6,14;7,24;6,2;6,53;8,02;3,16;3,07;5;26,55;19,96;27,89;24,21;23,02;25,98
1;T;L;W;51.W.1.20;4,97;2,55;10;5,37;6,01;5,69;5,69;6,57;2,52;2,49;4,06;20,13;18,39;20,68;19,51;19,24;20,09
1;T;L;D;51.W.1.20;5,1;3,36;10;3,51;4,26;4,23;4,00;5,62;1,63;1,96;3,18;21,3;18,53;24,56;21,43;19,87;22,94
1;T;L;D;51.W.1.20;4,77;2,89;NA;2,95;4,8;3,95;3,90;5,52;1,93;2,14;3,35;20,72;18,66;23,19;22,77;19,66;22,98
3;T;L;W;51.W.1.21;4,3;2,16;10;5,73;6,41;6,21;6,12;7,54;3,38;2,82;4,83;21,08;16,85;23,95;20,98;18,85;22,42
3;T;L;W;51.W.1.21;4,93;2,77;10;5,53;6,77;6,02;6,11;7,79;2,7;3,08;4,74;24,56;19,62;24,7;22,02;21,95;23,32
3;T;L;D;51.W.1.21;4,12;2,99;10;2,91;3,65;2,48;3,01;4,45;1,44;1,51;2,56;17,1;16,23;19,28;18,96;16,66;19,12
3;T;L;D;51.W.1.21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;T;L;D;51.W.1.22;4,72;2,18;10;5,18;5,64;4,6;5,14;6,89;2,73;2,95;4,42;20,08;15,54;21,22;18,66;17,66;19,9
2;T;L;D;51.W.1.22;3,38;1,73;10;3,04;3,96;3,89;3,63;6,66;2,79;2,82;4,32;15,35;14,07;14,17;14,9;14,7;14,53
2;T;L;W;51.W.1.22;NA;NA;9;4,5;5,86;4,49;4,95;6,69;2,71;2,48;4,17;25;20,22;24,3;22,51;22,48;23,39
2;T;L;W;51.W.1.22;4,88;1,52;NA;5,28;5,78;5,09;5,38;5,88;2,23;2,32;3,66;19,66;17,02;18,77;18,24;18,29;18,50
2;T;L;D;51.W.1.23;3,9;3,43;10;4,3;5,65;4,44;4,8;5,94;2,9;2,71;4,08;20,13;16,86;21,84;18,53;18,42;20,12
2;T;L;D;51.W.1.23;3,7;2,09;10;4,12;3,91;4,01;4,01;5,54;2,25;2,23;3,52;18,87;14;17,91;16;16,25;16,93
2;T;L;W;51.W.1.23;4,86;3,88;10;5,34;7,36;5,44;6,05;6,39;3,08;3,08;4,44;25,33;21,26;24,91;21,98;23,21;23,40
2;T;L;W;51.W.1.23;4,26;2,44;NA;4,42;5,64;6,07;5,38;6,93;2,79;2,98;4,47;22,05;21,12;22,76;23,41;21,58;23,08
4;T;L;D;51.W.1.24;5,03;2,97;10;4,89;5,29;4,89;5,02;7,23;2,87;2,66;4,47;19,8;16,24;18,91;16,74;17,93;17,79
4;T;L;D;51.W.1.24;5,33;2,86;10;5,64;6,67;6,02;6,11;6,28;2,01;2,19;3,63;24,49;16,48;22,76;20,5;20,09;21,6
4;T;L;W;51.W.1.24;4,82;2,13;10;4,24;5,8;4,61;4,88;5,22;1,93;1,81;3,12;21,6;18,05;22,75;20,62;19,75;21,66
4;T;L;W;51.W.1.24;4,96;2,68;NA;5,66;5,59;5,63;5,63;6,42;3,02;2,71;4,29;23,3;18,84;23,98;20,93;20,95;22,40
1;T;L;W;51.W.1.25;4,68;2,65;10;4,93;6,02;5,09;5,35;6,81;3,51;3,5;4,89;21,71;17,51;20,92;19,35;19,5;20,12
1;T;L;W;51.W.1.25;4,14;1,96;10;5,26;6,23;6,12;5,87;7,83;2,8;2,81;4,69;21,57;17,51;22,33;19,37;19,43;20,8
1;T;L;D;51.W.1.25;4,31;2,31;10;3,64;4,34;3,49;3,82;5,03;2,3;2,12;3,33;16,88;13,88;16,49;15,7;15,31;16,09
1;T;L;D;51.W.1.25;3,36;4;10;2,47;4,38;2,98;3,28;5,12;1,21;1,95;2,84;13,69;12,22;12,29;12,69;12,93;12,49
4;T;L;D;51.W.1.26;4,11;3,66;10;3,64;4,54;3,57;3,92;5,99;2,77;2,01;3,78;16,59;11,15;15,14;12,78;13,6;13,91
4;T;L;D;51.W.1.26;4,75;2,75;10;2,48;3,98;3,56;3,34;6,49;2,77;2,5;4,14;15,32;13,1;15,35;15,39;14,17;15,37
4;T;L;W;51.W.1.26;5,11;1,72;10;4,35;5,68;5,29;5,11;7,27;3,13;3,39;4,87;24,76;15,79;24,19;21,38;19,77;22,74
4;T;L;W;51.W.1.26;4,43;1,75;NA;4,31;5,39;4,55;4,75;6,05;2,19;2,46;3,75;18,68;16,31;18,56;18,45;17,45;18,50
2;V;S;D;V.W.1.00;3,28;0;8;3,75;3,32;3,78;3,62;4,5;1,52;1,48;2,6;12,22;11,47;12,49;11,87;11,84;12,18
2;V;S;D;V.W.1.00;2;0;10;2,94;3,6;3,63;3,39;4,2;1,36;1,45;2,43;12,6;12,6;13,35;13,94;12,6;13,64
2;V;S;W;V.W.1.00;3,28;0;10;4,69;5,63;5;5,11;5,86;1,77;1,73;3,20;22,36;19,17;22,25;19,78;20,70;20,98
2;V;S;W;V.W.1.00;3,59;0;NA;3,86;4,72;4,23;4,27;5,3;1,57;1,64;2,92;18,7;16,14;19,93;18,59;17,37;19,25
2;V;S;D;V.W.1.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;V;S;D;V.W.1.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;V;S;W;V.W.1.01;3,78;0;10;4,22;4,22;4,67;4,37;5,23;1,63;1,26;2,75;21,77;17,6;21,57;19,43;19,57;20,47
2;V;S;W;V.W.1.01;2,9;0;NA;3,3;2,88;3,73;3,30;5,19;1,82;1,62;2,99;21,36;18,88;21,67;21,09;20,08;21,38
