"pop","mother","crossID","blocktray","timetosowing","MCseed","nseed","germ2"
"T","T14","T14sld","T2_2",172,2.10948275862069,2,1
"T","T14","T14shd","T3_2",168,-0.190517241379311,2,1
"T","T14","T14xld","T3_2",137,0.00948275862068471,2,0.5
"T","T14","T14xhd","T7_2",161,3.40948275862069,2,1
"T","T15","T15sld","T7_2",136,4.30948275862069,2,0.5
"T","T15","T15shd","T8_2",161,1.80948275862069,2,0.5
"T","T15","T15xld","T2_2",164,3.60948275862069,2,1
"T","T15","T15xhd","T8_2",147,4.30948275862069,2,1
"T","T16","T16sld","T6_2",150,-2.09051724137931,2,1
"T","T16","T16shd","T5_2",150,-0.390517241379314,2,0.5
"T","T16","T16xld","T2_2",137,1.80948275862069,2,1
"T","T16","T16xhd","T1_2",116,3.00948275862068,2,0.5
"T","T17","T17sld","T4_2",125,-2.59051724137931,2,1
"T","T17","T17shd","T2_2",124,-0.790517241379312,2,1
"T","T17","T17xld","T6_2",121,-2.29051724137931,2,1
"T","T17","T17xhd","T8_2",179,-8.29051724137931,2,1
"T","T18","T18sld","T9_2",141,4.00948275862068,2,1
"T","T18","T18shd","T2_2",143,4.00948275862068,2,1
"T","T18","T18xld","T2_2",140,3.80948275862069,2,0.5
"T","T18","T18xhd","T9_2",137,2.10948275862069,2,1
"T","T19","T19sld","T7_2",141,7.60948275862069,2,0
"T","T19","T19shd","T1_2",163,4.30948275862069,2,1
"T","T19","T19xld","T2_2",120,1.30948275862069,2,0.5
"T","T19","T19xhd","T7_2",110,0.709482758620688,2,0.5
"T","T20","T20sld","T1_2",150,-3.99051724137932,2,1
"T","T20","T20shd","T3_2",155,2.00948275862068,2,1
"T","T20","T20xld","T7_2",134,0.00948275862068471,2,0.5
"T","T21","T21sld","T9_2",140,-0.390517241379314,2,1
"T","T21","T21shd","T8_2",134,-3.69051724137931,2,1
"T","T21","T21xld","T5_2",159,0.309482758620689,2,1
"T","T21","T21xhd","T8_2",174,-3.19051724137931,2,1
"T","T22","T22sld","T6_2",157,-5.89051724137931,2,1
"T","T22","T22shd","T6_2",135,0.209482758620688,2,0.5
"T","T22","T22xld","T1_2",127,-5.29051724137931,1,1
"T","T22","T22xhd","T2_2",150,-2.09051724137931,2,1
"T","T23","T23sld","T3_2",153,0.40948275862069,2,1
"T","T23","T23shd","T1_2",159,0.609482758620686,2,1
"T","T23","T23xld","T7_2",164,-0.690517241379311,2,1
"T","T23","T23xhd","T9_2",119,-0.990517241379315,2,1
"T","T24","T24sld","T1_2",159,2.00948275862068,2,0
"T","T24","T24shd","T6_2",157,3.30948275862069,2,1
"T","T25","T25sld","T1_2",140,-3.29051724137931,2,0.5
"T","T25","T25shd","T3_2",146,-3.09051724137931,2,1
"T","T25","T25xld","T2_2",152,0.309482758620689,1,1
"T","T25","T25xhd","T5_2",121,0.509482758620685,2,0.5
"T","T26","T26sld","T3_2",143,2.30948275862069,2,1
"T","T26","T26shd","T7_2",155,-5.09051724137931,2,1
"T","T26","T26xld","T9_2",140,0.609482758620686,2,1
"T","T26","T26xhd","T7_2",130,0.709482758620688,2,1
"T","T27","T27sld","T1_2",163,-1.29051724137931,2,1
"T","T27","T27shd","T1_2",143,-2.69051724137931,2,1
"T","T27","T27xld","T2_2",167,1.50948275862068,2,1
"T","T27","T27xhd","T4_2",139,-0.290517241379312,2,1
"T","T28","T28sld","T1_2",125,-2.39051724137931,2,0.5
"T","T28","T28shd","T4_2",143,0.909482758620691,2,1
"T","T28","T28xld","T7_2",164,1.80948275862069,2,1
"T","T28","T28xhd","T4_2",118,0.309482758620689,2,1
"T","T29","T29sld","T7_2",143,-0.490517241379315,2,1
"T","T29","T29shd","T6_2",160,-0.690517241379311,2,1
"T","T29","T29xld","T1_2",157,-0.690517241379311,2,1
"T","T29","T29xhd","T2_2",155,-4.79051724137931,2,1
"T","T30","T30sld","T2_2",157,-2.09051724137931,2,1
"T","T30","T30shd","T2_2",151,-1.59051724137931,2,1
"T","T30","T30xld","T7_2",145,2.00948275862068,2,1
"T","T30","T30xhd","T2_2",164,2.00948275862068,2,1
"CC","CC1","CC1sld","T1_2",117,-4.8082251082251,2,0.5
"CC","CC1","CC1shd","T8_2",120,-2.60822510822511,2,0
"CC","CC1","CC1xld","T5_2",130,-0.208225108225102,2,1
"CC","CC1","CC1xhd","T4_2",159,0.991774891774894,2,0.5
"CC","CC2","CC2sld","T8_2",132,-2.10822510822511,2,1
"CC","CC2","CC2shd","T2_2",119,0.291774891774898,2,0
"CC","CC2","CC2xld","T9_2",152,-3.2082251082251,2,1
"CC","CC2","CC2xhd","T2_2",140,1.39177489177489,2,1
"CC","CC3","CC3sld","T8_2",136,5.6917748917749,2,1
"CC","CC3","CC3shd","T3_2",135,4.39177489177489,2,0.5
"CC","CC3","CC3xld","T8_2",141,1.49177489177489,2,0.5
"CC","CC3","CC3xhd","T4_2",139,8.19177489177489,2,1
"CC","CC4","CC4sld","T3_2",130,-1.8082251082251,2,0.5
"CC","CC4","CC4shd","T5_2",114,0.891774891774892,2,1
"CC","CC4","CC4xld","T7_2",156,1.2917748917749,2,0
"CC","CC4","CC4xhd","T5_2",142,-1.00822510822511,2,1
"CC","CC5","CC5sld","T7_2",114,-11.3082251082251,2,1
"CC","CC5","CC5shd","T1_2",127,-9.00822510822511,2,1
"CC","CC5","CC5xld","T8_2",141,-9.50822510822511,2,1
"CC","CC5","CC5xhd","T1_2",119,-14.5082251082251,2,1
"CC","CC6","CC6sld","T1_2",155,0.991774891774894,2,1
"CC","CC6","CC6shd","T2_2",149,0.591774891774895,2,0.5
"CC","CC6","CC6xld","T7_2",139,-0.508225108225106,2,1
