"patch","UBA","GA","GAD","GSD","ASD","pollenfem","pollenmale","total_seeds","seeds_pred"
"34",456.67,28.98,5.53,5.73,3.6,30,31,8,0
"35",474.72,45,3.52,5.51,3.73,NA,34,0,0
"36",366.48,30.41,4.42,4.15,4.66,0,1,0,0
"36",383.62,32.58,5.33,4.65,4.8,7,0,NA,NA
"36",481.88,34.21,5.14,4.76,5.41,1,0,NA,NA
"36",414.66,27.82,4.15,4.87,4.07,1,0,NA,NA
"36",310.86,20.83,3.63,5.09,4.88,0,0,NA,NA
"36",368.25,24.55,4.03,4.5,3.25,1,0,NA,NA
"36",329.78,29.91,4.48,3.9,5.34,0,2,0,0
"36",345.88,26.59,5.69,5.11,4.44,0,0,NA,NA
"36",319.11,22.65,3.6,4.2,4.82,5,0,0,0
"37",590.44,38.93,5.01,6.09,5.51,80,0,5,0
"0B",207.01,31.71,4.98,4.39,5.01,0,0,0,0
"0B",400.99,38.44,3.17,3.9,5.47,0,80,0,0
"0C",247.67,33.83,3.47,4.71,4.26,0,25,0,0
"0C",303.95,37.56,3.7,4.98,1.97,9,7,0,0
"15B",286.89,31.68,3.28,4.6,3.6,0,4,0,0
"25b",519.65,47.52,4.79,5.24,4.67,11,64,4,0
"2B",579.26,50.35,7.23,5.13,5.36,7,2,6,0
"2B",575.28,42.75,7.18,5.32,6.33,6,34,0,0
"2B",666.32,39.07,6.84,5.74,4.96,33,27,7,0
"2B",414.65,38.38,5.02,4.68,4.47,2,1,NA,NA
"2B",489.29,38.54,5.62,4.91,4.13,0,3,0,0
"2B",540.33,44.87,5.78,4.87,5.24,18,55,0,0
"2C",627,40.7,4.82,5.21,5.54,65,20,9,0
"2C",449.43,32.19,6.08,4.51,5.05,17,13,8,0
"2C",636.61,37.6,5.87,5.64,4.81,9,7,NA,NA
"2C",488.4,35.9,5.1,4.81,3.9,55,20,8,0
"2C",564.95,38.15,4.87,4.59,5.14,55,5,6,0
"2C",510.28,33.14,5.38,4.33,3.76,16,54,9,0
"2C",546.86,35.21,5.64,5.33,5.73,17,5,NA,NA
