Year	Seeds	Corollalength	Corollawidth	Flowers
2003	41.00	25.40	3.30	33.00
2003	0.00	NA	NA	5.00
2003	23.00	20.30	3.10	28.00
2004	123.00	33.70	2.90	103.00
2004	56.00	23.30	2.90	36.00
2004	66.00	35.20	3.50	61.00
2005	0.00	23.40	2.90	23.00
2005	27.00	27.30	3.40	47.00
2005	39.00	28.60	2.80	92.00
2006	100.00	27.50	3.60	28.00
2006	56.00	30.60	3.60	10.00
2006	17.00	29.50	3.40	41.00
2006	116.00	29.10	3.50	56.00
2006	31.00	31.20	3.70	115.00
2006	121.00	31.90	3.00	131.00
2010	58.00	27.30	3.90	48.00
2010	56.00	23.70	3.80	50.00
2010	84.00	27.10	3.10	126.00
2010	175.00	27.80	2.60	103.00
2010	81.00	22.50	3.80	40.00
2010	152.00	23.30	3.50	53.00
2011	36.00	29.80	3.10	87.00
2011	472.00	28.60	3.20	143.00
2011	202.00	26.40	3.30	136.00
2011	158.00	29.00	3.20	83.00
2011	32.00	21.90	3.40	144.00
2011	0.00	25.10	3.40	24.00
2011	26.00	34.90	3.60	33.00
2011	61.00	26.40	3.70	26.00
2011	78.00	28.90	3.60	33.00
2011	487.00	31.80	3.50	177.00
2011	352.00	32.20	3.40	167.00
2011	144.00	31.80	3.70	62.00
2011	495.00	30.50	3.60	149.00
2011	245.00	28.40	3.70	47.00
2011	62.00	25.60	3.70	25.00
2011	181.00	25.90	3.30	67.00
2011	189.00	22.90	3.70	48.00
2011	182.00	28.10	3.50	87.00
2011	567.00	27.60	3.60	169.00
2011	233.00	32.30	3.80	100.00
2011	1081.00	26.90	3.80	355.00
2011	160.00	22.10	3.30	55.00
2011	80.00	28.90	3.50	74.00
2011	128.00	28.20	3.30	97.00
2011	322.00	30.30	3.20	123.00
2011	179.00	25.40	3.20	44.00
2011	149.00	25.50	3.30	59.00
2011	78.00	28.30	3.10	95.00
2011	161.00	26.70	3.30	182.00
2011	376.00	31.80	3.10	140.00
2011	268.00	30.50	3.00	162.00
2011	59.00	25.80	3.10	34.00
2011	128.00	27.00	3.40	59.00
2011	287.00	26.80	3.60	95.00
2012	3.00	30.70	3.40	30.00
2012	38.00	32.00	3.50	77.00
2012	26.00	35.20	3.30	230.00
2012	3.00	29.80	3.00	41.00
2012	71.00	21.80	3.60	137.00
2012	5.00	31.50	3.10	129.00
2012	7.00	30.00	3.00	47.00
2012	38.00	24.00	3.40	84.00
2012	0.00	NA	NA	14.00
2012	0.00	24.90	3.10	9.00
2012	17.00	30.60	3.40	74.00
2012	7.00	25.50	3.70	25.00
2012	0.00	27.00	3.50	53.00
2012	15.00	19.70	3.00	36.00
2012	53.00	26.30	3.90	59.00
2012	0.00	32.90	3.70	10.00
2012	13.00	26.00	3.40	8.00
2012	13.00	21.00	3.00	23.00
2012	5.00	25.60	3.60	62.00
2012	46.00	23.90	3.50	37.00
