Patry	Hostplant	Sex	BL	OL	Wing_length	Wing_width	Wing_area	Melanized_area	Melanization_ratio	Baltic
Allopatry	Oleraceum	Male	4.71	NA	4.891089109	2.257425743	9.015488678	5.738751103	63.65435428	East
Allopatry	Oleraceum	Female	4.89	1.64	5.063157895	2.294736842	9.228365651	4.997783934	54.15676104	East
Allopatry	Oleraceum	Female	4.35	1.54	4.891089109	2.267326733	9.089893148	5.856386629	64.42745293	East
Allopatry	Oleraceum	Male	5.16	NA	5.082474227	2.319587629	9.153044957	4.744499947	51.8352086	East
Allopatry	Oleraceum	Female	5.03	2.05	5.042553191	2.489361702	10.32627886	5.471140788	52.98269456	East
Allopatry	Oleraceum	Male	4.82	NA	4.916666667	2.15625	8.546766493	4.588975694	53.69253621	East
Allopatry	Oleraceum	Female	4.93	1.68	5.01	2.42	10.0974	6.7348	66.69835799	East
Allopatry	Oleraceum	Male	4.23	NA	4.646464646	2.212121212	8.40057137	5.770125497	68.68729808	East
Allopatry	Oleraceum	Female	4.42	1.53	5.642857143	2.418367347	10.93804665	7.086734694	64.78976478	East
Allopatry	Oleraceum	Female	4.46	1.79	5.06185567	2.257731959	9.094590286	4.786162185	52.62647392	East
Allopatry	Oleraceum	Male	4.51	NA	4.968421053	2.2	8.502936288	4.612520776	54.24621118	East
Allopatry	Oleraceum	Female	4.83	1.72	5.252631579	2.505263158	10.50448753	5.409639889	51.4983703	East
Allopatry	Oleraceum	Male	4.42	NA	4.964467005	2.263959391	9.096549769	5.883686774	64.68042195	East
Allopatry	Oleraceum	Female	4.9	1.68	5.070707071	2.393939394	9.903275176	6.437098255	64.99969092	East
Allopatry	Oleraceum	Male	4.88	NA	5.052631579	2.273684211	9.07933518	5.346149584	58.88261066	East
Allopatry	Oleraceum	Female	4.59	1.7	5.117021277	2.255319149	9.049796288	5.037460389	55.66379871	East
Sympatry	Oleraceum	Male	4.43	NA	4.78	2.27	8.7686	5.2916	60.34714778	West
Sympatry	Oleraceum	Female	4.62	1.61	5.245098039	2.352941176	9.836889658	5.944252211	60.42816802	West
Sympatry	Oleraceum	Male	3.81	NA	4.104166667	1.885416667	6.128255208	3.626627604	59.17879528	West
Sympatry	Oleraceum	Male	4.03	NA	4.45	2.04	7.2573	4.0282	55.50549102	West
Sympatry	Oleraceum	Female	4.19	1.49	4.591836735	2.020408163	7.494169096	3.741461891	49.92497291	West
Sympatry	Oleraceum	Male	3.81	NA	4.137254902	1.931372549	6.382641292	3.940984237	61.7453505	West
Sympatry	Oleraceum	Female	4.59	1.91	4.472361809	2.150753769	7.904244842	4.646650337	58.78677128	West
Sympatry	Oleraceum	Female	4.05	1.72	4.343434343	1.95959596	6.853178247	4.143760841	60.46480467	West
Sympatry	Oleraceum	Male	4.62	NA	4.78125	2.135416667	8.036349826	4.359592014	54.24841014	West
Sympatry	Oleraceum	Female	4.47	1.67	5.092783505	2.18556701	8.603996174	4.249548305	49.39040208	West
Sympatry	Oleraceum	Male	4.68	NA	4.806122449	2.132653061	8.09454394	4.29123282	53.01389246	West
Sympatry	Oleraceum	Female	3.73	1.62	4.222222222	1.96969697	6.904805632	4.078563412	59.06847534	West
Sympatry	Oleraceum	Male	4.62	NA	4.79	2.27	8.9508	5.1063	57.04853197	West
Sympatry	Oleraceum	Female	4.67	1.7	4.808080808	2.383838384	9.341291705	5.50372411	58.91823405	West
Sympatry	Oleraceum	Male	4.14	NA	4.707070707	2.02020202	7.405876951	3.569431691	48.19728594	West
Sympatry	Oleraceum	Female	4.3	1.76	5.005128205	2.143589744	8.485996055	4.444234057	52.37138961	West
Sympatry	Oleraceum	Male	4.17	NA	4.781725888	1.989847716	7.542271123	3.577623747	47.43430313	West
Sympatry	Oleraceum	Female	4.48	1.74	4.95	2.29	9.0061	5.3061	58.91673421	West
Sympatry	Oleraceum	Male	3.89	NA	4.721311475	2.25136612	8.48589089	5.245543313	61.8148805	West
Sympatry	Oleraceum	Female	4.62	1.58	4.91	2.28	9.0565	5.164	57.01982002	West
